date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-10-22,2022,elite-road-caribbean-championships-itt,gc,Jamaica,1.2,,0,0,,0.0,,,0.0
2022-10-23,2022,elite-road-caribbean-championships-road-race,gc,Jamaica,1.2,,,1,,0.0,,,0.0
2023-04-19,2023,panamerican-champ-itt,gc,Jamaica,CC,,0,0,,0.0,,,0.0
2023-04-23,2023,panamerican-championships,gc,Jamaica,CC,,,1,,0.0,,,0.0
2024-11-02,2024,elite-road-caribbean-championships-itt,gc,Jamaica,1.2,,0,0,,0.0,,,0.0
2024-11-03,2024,elite-road-caribbean-championships-road-race,gc,Jamaica,1.2,,,1,,0.0,,,0.0
2024-04-05,2024,jamaica-international-cycling-classic,gc,Elevation Cycling Club,2.2,19.0,0.0,1,,30.0,,,31.0
2024-06-30,2024,national-championships-trinidad-tobago-me-road-rac,gc,Elevation Cycling Club,NC,,0,0,,0.0,,,0.0
2025-10-12,2025,elite-road-caribbean-championships-road-race,gc,Jamaica,1.2,,,1,,0.0,,,0.0
2025-04-04,2025,jamaica-international-cycling-classic,gc,AVR Racing,2.2,31.0,0.0,1,,3.0,,,3.0
2025-07-06,2025,nc-jamaica,gc,AVR Racing,NC,,,1,,0.0,,,125.0
2025-07-05,2025,nc-jamaica-itt,gc,AVR Racing,NC,,,1,,0.0,,,50.0
