date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-27,2017,asian-cc-u23-itt,gc,Pishgaman Cycling Team,CC,,0,0,,0.0,,,0.0
2017-09-27,2017,banyuwangi-tour-de-ijen,gc,Pishgaman Cycling Team,2.2,5.0,15.0,1,,48.0,,,68.0
2017-10-08,2017,international-azerbaijan-tour,gc,Pishgaman Cycling Team,2.1,15.0,5.0,1,,45.0,,,70.0
2017-07-01,2017,nc-iran,gc,Pishgaman Cycling Team,NC,,0,0,,0.0,,,58.0
2017-07-02,2017,nc-iran-itt,gc,Pishgaman Cycling Team,NC,,0,0,,0.0,,,35.0
2017-07-14,2017,tour-de-flores,gc,Pishgaman Cycling Team,2.2,,,1,,30.0,,,41.0
2017-09-30,2017,tour-of-almaty,gc,Pishgaman Cycling Team,2.1,,0,0,,0.0,,,0.0
2017-08-25,2017,tour-of-xingtai,gc,Pishgaman Cycling Team,2.2,12.0,0.0,1,,3.0,,,6.0
2018-09-30,2018,international-azerbaijan-tour,gc,Pishgaman Cycling Team,2.1,,0,0,,36.0,,,64.0
2018-05-21,2018,le-tour-de-filipinas,gc,Pishgaman Cycling Team,2.2,36.0,0.0,1,,3.0,,,3.0
2018-06-29,2018,nc-iran,gc,Pishgaman Cycling Team,NC,,,1,,0.0,,,176.0
2018-06-30,2018,nc-iran-itt,gc,Pishgaman Cycling Team,NC,,,1,,0.0,,,53.0
