date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-07-03,2021,germenica-grand-prix-road-race-me,gc,Bike Center Iran,1.2,,,1,,0.0,,,0.0
2021-07-10,2021,grand-prix-erciyes-mimar-sinan-me,gc,Behpak Mazandaran,1.2,,,1,,0.0,,,15.0
2021-07-04,2021,kahramanmaras-grand-prix-road-race-me,gc,Bike Center Iran,1.2,,,1,,0.0,,,0.0
2021-04-01,2021,tour-of-mevlana,gc,Omidnia Mashhad Team,2.2,,,1,,0.0,,,0.0
2022-03-29,2022,asian-championships-me,gc,Iran,CC,,0,0,,0.0,,,190.0
2022-03-27,2022,asian-cycling-championships-itt,gc,Iran,CC,,0,0,,0.0,,,20.0
2022-03-05,2022,grand-prix-gazipasa,gc,Iran,1.2,,,1,,0.0,,,0.0
2022-03-20,2022,grand-prix-gundogmus-me,gc,Arvich Shargh Omidnia,1.2,,,1,,0.0,,,0.0
2022-03-19,2022,grand-prix-manavgat-side,gc,Arvich Shargh Omidnia,1.2,,,1,,0.0,,,0.0
2022-03-06,2022,grand-prix-mediterrennean,gc,Iran,1.2,,,1,,0.0,,,0.0
2022-09-29,2022,international-azerbaijan-tour,gc,Arvich Shargh Omidnia,2.1,23.0,3.0,1,,88.0,,,107.0
2022-09-29,2022,international-azerbaijan-tour,gc,Iran,2.1,,0,0,,21.0,,,26.0
2022-08-11,2022,islamic-solidarity-games-me-itt,gc,Iran,JR,,0,0,,0.0,,,0.0
2022-08-13,2022,islamic-solidarity-games-me-road-race,gc,Iran,JR,,0,0,,0.0,,,0.0
2022-07-02,2022,nc-iran,gc,Arvich Shargh Omidnia,NC,,,1,,0.0,,,5.0
2022-07-03,2022,nc-iran-itt,gc,Arvich Shargh Omidnia,NC,,0,0,,0.0,,,0.0
2025-05-27,2025,international-azerbaijan-tour,gc,Tommi's Radltankstelle Team,2.1,,0,0,,3.0,,,3.0
2025-07-24,2025,nc-iran,gc,Tommi's Radltankstelle Team,NC,,,1,,0.0,,,36.0
2025-07-25,2025,nc-iran-itt,gc,Tommi's Radltankstelle Team,NC,,0,0,,0.0,,,15.0
