date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-07-18,2018,Grande-Premio-de-Portugal-N2,gc,LA Aluminios,2.2,96.0,0.0,1,,0.0,,,0.0
2018-03-25,2018,classica-aldeias-do-xisto-cylin-portugal,gc,LA Aluminios,1.2,,,1,,0.0,,,0.0
2018-04-13,2018,gp-internacional-beiras-e-serra-da-estrela,gc,LA Aluminios,2.1,77.0,0.0,1,,3.0,,,3.0
2018-06-24,2018,nc-portugal2,gc,LA Aluminios,NC,,,1,,0.0,,,0.0
2018-03-11,2018,trofeu-da-arrabida,gc,LA Aluminios,1.2,,,1,,0.0,,,0.0
2018-08-01,2018,volta-a-portugal,gc,LA Aluminios,2.1,72.0,0.0,1,,0.0,,,0.0
2018-03-14,2018,volta-ao-alentejo,gc,LA Aluminios,2.2,87.0,0.0,1,,0.0,,,0.0
2018-02-14,2018,volta-ao-algarve,gc,LA Aluminios,2.HC,,,1,,0.0,,,0.0
2019-07-11,2019,gp-int-torres-vedras,gc,LA Aluminios,2.2,,0,0,,3.0,,,3.0
2019-04-12,2019,gp-internacional-beiras-e-serra-da-estrela,gc,LA Aluminios,2.1,74.0,0.0,1,,3.0,,,3.0
2019-06-28,2019,nc-portugal,gc,LA Aluminios,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-portugal2,gc,LA Aluminios,NC,,,1,,0.0,,,0.0
2019-03-17,2019,trofeu-da-arrabida,gc,LA Aluminios,1.2,,0,0,,0.0,,,0.0
2019-07-31,2019,volta-a-portugal,gc,LA Aluminios,2.1,90.0,0.0,1,,3.0,,,3.0
2019-03-20,2019,volta-ao-alentejo,gc,LA Aluminios,2.2,54.0,0.0,1,,0.0,,,0.0
2019-02-20,2019,volta-ao-algarve,gc,LA Aluminios,2.HC,122.0,0.0,1,,0.0,,,0.0
2020-09-19,2020,gp-int-torres-vedras,gc,L.A. Aluminios / L.A. Sport,2.2,58.0,0.0,1,,0.0,,,0.0
2020-08-14,2020,nc-portugal,gc,L.A. Aluminios / L.A. Sport,NC,,0,0,,0.0,,,0.0
2020-08-16,2020,nc-portugal2,gc,L.A. Aluminios / L.A. Sport,NC,,,1,,0.0,,,0.0
2020-09-27,2020,volta-a-portugal,gc,L.A. Aluminios / L.A. Sport,2.1,69.0,0.0,1,,3.0,,,3.0
2020-02-19,2020,volta-ao-algarve,gc,L.A. Aluminios / L.A. Sport,2.Pro,149.0,0.0,1,,0.0,,,0.0
