date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-06-13,2019,coupe-des-nations-ville-saguenay,gc,X-Speed United,2.2,,0.0,0,,20.0,,,24.0
2019-06-28,2019,nc-canada-itt,gc,X-Speed United,NC,,0.0,0,,0.0,,,0.0
2019-06-30,2019,nc-canada2,gc,X-Speed United,NC,,,1,,0.0,,,4.0
2019-06-30,2019,nc-hong-kong,gc,X-Speed United,NC,,0.0,0,,0.0,,,3.0
2019-06-29,2019,nc-hong-kong-itt,gc,X-Speed United,NC,,0.0,0,,0.0,,,5.0
2019-08-11,2019,oita-urban-classic,gc,X-Speed United,1.2,,0.0,0,,0.0,,,45.0
2019-05-24,2019,pruride-ph,gc,X-Speed United,2.2,,,1,,0.0,,,0.0
2019-08-19,2019,speedy-tour-d-indonesia,gc,X-Speed United,2.1,,0.0,0,,3.0,,,8.0
2019-06-19,2019,tour-de-beauce,gc,X-Speed United,2.2,,0.0,0,,0.0,,,0.0
2019-07-07,2019,tour-de-delta,gc,X-Speed United,1.2,,0.0,0,,0.0,,,0.0
2019-04-17,2019,tour-de-iskandar-johor,gc,X-Speed United,2.2,,0.0,0,,10.0,,,17.0
