date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-04-28,2018,banja-luka-belgrade-i,gc,Synergy Baku Cycling Project,2.1,,0,0,,5.0,,,5.0
2018-05-02,2018,five-rings-of-moscow,gc,Synergy Baku Cycling Project,2.2,,0,0,,30.0,,,38.0
2018-02-18,2018,grand-prix-alanya,gc,Synergy Baku Cycling Project,1.2,,0,0,,0.0,,,60.0
2018-08-19,2018,grand-prix-minsk,gc,Synergy Baku Cycling Project,1.2,,0,0,,0.0,,,0.0
2018-03-11,2018,grand-prix-side,gc,Synergy Baku Cycling Project,1.2,,0,0,,0.0,,,45.0
2018-06-03,2018,horizon-park-classic,gc,Synergy Baku Cycling Project,1.2,,0,0,,0.0,,,0.0
2018-09-30,2018,international-azerbaijan-tour,gc,Azerbaijan,2.1,,,1,,0.0,,,0.0
2018-08-18,2018,minsk-cup,gc,Synergy Baku Cycling Project,1.2,,0,0,,0.0,,,0.0
2018-06-28,2018,nc-azerbaijan,gc,Synergy Baku Cycling Project,NC,,,1,,0.0,,,390.0
2018-06-26,2018,nc-azerbaijan-itt,gc,Synergy Baku Cycling Project,NC,,,1,,0.0,,,137.0
2018-06-20,2018,nc-ukraine-itt,gc,Synergy Baku Cycling Project,NC,,0,0,,0.0,,,10.0
2018-06-01,2018,race-horizon-park,gc,Synergy Baku Cycling Project,1.2,,0,0,,0.0,,,10.0
2018-06-02,2018,race-horizon-park-2,gc,Synergy Baku Cycling Project,1.2,,0,0,,0.0,,,3.0
2018-04-06,2018,tour-du-maroc,gc,Synergy Baku Cycling Project,2.2,,0,0,,15.0,,,16.0
2018-02-22,2018,tour-of-antalya,gc,Synergy Baku Cycling Project,2.2,,0,0,,0.0,,,0.0
2018-09-14,2018,tour-of-cappadocia,gc,Synergy Baku Cycling Project,2.2,,0,0,,0.0,,,0.0
2018-03-29,2018,tour-of-faith-sultan-mehmet,gc,Synergy Baku Cycling Project,2.2,,0,0,,10.0,,,10.0
2018-03-02,2018,tour-of-mediterrennean,gc,Synergy Baku Cycling Project,2.2,101.0,0.0,1,,3.0,,,3.0
2018-04-19,2018,tour-of-mersin,gc,Synergy Baku Cycling Project,2.2,,0,0,,5.0,,,12.0
2018-01-24,2018,tour-of-sharjah,gc,Synergy Baku Cycling Project,2.1,,0,0,,3.0,,,3.0
2019-06-23,2019,european-games,gc,Azerbaijan,JC,,,1,,0.0,,,0.0
2019-06-25,2019,european-games-itt,gc,Azerbaijan,JC,,0,0,,0.0,,,0.0
2019-10-12,2019,fatih-sultan-mehmet-edirne-race,gc,Azerbaijan,1.2,,,1,,0.0,,,40.0
2019-10-13,2019,fatih-sultan-mehmet-kirklareli-race,gc,Azerbaijan,1.2,,,1,,0.0,,,45.0
2019-10-02,2019,international-azerbaijan-tour,gc,Azerbaijan,2.1,,,1,,0.0,,,0.0
2019-08-30,2019,tour-of-almaty,gc,Azerbaijan,2.1,,,1,,0.0,,,0.0
2019-10-15,2019,tour-of-peninsula,gc,Azerbaijan,2.1,,,1,,38.0,,,52.0
2023-06-07,2023,aziz-shusha,gc,Azerbaijan,2.2,,0,0,,0.0,,,0.0
2023-05-10,2023,the-tour-oqtosh-chorvoq-mountain,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2023-05-11,2023,the-tour-oqtosh-chorvoq-mountain-ii,gc,Azerbaijan,1.2,,,1,,0.0,,,3.0
2023-05-22,2023,tour-of-albania,gc,Azerbaijan,2.2,,0,0,,20.0,,,23.0
2023-05-13,2023,tour-of-bostonliq,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2023-05-14,2023,tour-of-bostonliq-ii,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2023-01-27,2023,tour-of-sharjah,gc,Azerbaijan,2.2,,0,0,,0.0,,,0.0
2024-02-25,2024,alanya-cup,gc,Azerbaijan,1.2,,0,0,,0.0,,,0.0
2024-01-27,2024,gp-antalya,gc,Azerbaijan,1.2,,,1,,0.0,,,0.0
2024-02-03,2024,grand-prix-apollon-temple-me,gc,Azerbaijan,1.2,,0,0,,0.0,,,0.0
2024-03-02,2024,syedra-ancient-city,gc,Azerbaijan,1.2,,0,0,,0.0,,,0.0
2024-04-04,2024,tour-of-mersin,gc,Azerbaijan,2.2,,0,0,,0.0,,,0.0
