date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-04-16,2022,arno-wallaard-memorial,gc,JEGG-DJR Academy,1.2,,,1,,0.0,,,0.0
2022-03-13,2022,dorpenomloop-rucphen,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-03-06,2022,elfsteden-race,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-06-19,2022,midden-brabant-poort-omloop,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-08-28,2022,ronde-van-de-achterhoek,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-05-07,2022,ronde-van-overijssel,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2022-04-30,2022,zodc-zuidenveld-tour,gc,JEGG-DJR Academy,1.2,,0.0,0,,0.0,,,0.0
2025-09-27,2025,arno-wallaard-memorial,gc,JEGG-SKIL-DJR,1.2,,,1,,0.0,,,0.0
2025-03-09,2025,dorpenomloop-rucphen,gc,JEGG-SKIL-DJR,1.2,,0.0,0,,0.0,,,0.0
2025-07-06,2025,midden-brabant-poort-omloop,gc,JEGG-SKIL-DJR,1.2,,0.0,0,,0.0,,,0.0
2025-06-28,2025,nc-netherlands,gc,JEGG-SKIL-DJR,NC,,0.0,0,,0.0,,,0.0
2025-06-24,2025,nc-netherlands-itt,gc,JEGG-SKIL-DJR,NC,,0.0,0,,0.0,,,0.0
2025-02-08,2025,nc-new-zealand,gc,JEGG-SKIL-DJR,NC,,0.0,0,,0.0,,,0.0
2025-03-26,2025,olympias-tour,gc,Limburg Cycling,2.2,,,1,,0.0,,,0.0
2025-05-18,2025,omloop-der-kempen,gc,JEGG-SKIL-DJR,1.2,,0.0,0,,0.0,,,0.0
2025-08-30,2025,slag-om-norg,gc,JEGG-SKIL-DJR,1.2,,0.0,0,,0.0,,,0.0
