date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-06-02,2017,gp-internacional-beiras-e-serra-da-estrela,gc,Portugal,2.1,82.0,0.0,1,,0.0,,,0.0
2017-08-03,2017,uec-road-european-championships-itt,gc,Portugal,CC,,0,0,,0.0,,,0.0
2017-08-06,2017,uec-road-european-championships-me,gc,Portugal,CC,,0,0,,0.0,,,0.0
2017-09-24,2017,world-championship,gc,Portugal,WC,,0,0,,0.0,,,35.0
2017-09-20,2017,world-championship-itt,gc,Portugal,WC,,0,0,,0.0,,,150.0
2019-07-11,2019,gp-int-torres-vedras,gc,LA Aluminios,2.2,70.0,0.0,1,,3.0,,,3.0
2019-04-12,2019,gp-internacional-beiras-e-serra-da-estrela,gc,LA Aluminios,2.1,,0,0,,3.0,,,3.0
2019-06-28,2019,nc-portugal,gc,LA Aluminios,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-portugal2,gc,LA Aluminios,NC,,0,0,,0.0,,,0.0
2019-03-17,2019,trofeu-da-arrabida,gc,LA Aluminios,1.2,,,1,,0.0,,,0.0
2019-07-31,2019,volta-a-portugal,gc,LA Aluminios,2.1,94.0,0.0,1,,3.0,,,3.0
2019-03-20,2019,volta-ao-alentejo,gc,LA Aluminios,2.2,112.0,0.0,1,,0.0,,,0.0
2019-02-20,2019,volta-ao-algarve,gc,LA Aluminios,2.HC,,,1,,0.0,,,0.0
2020-09-19,2020,gp-int-torres-vedras,gc,L.A. Aluminios / L.A. Sport,2.2,84.0,0.0,1,,0.0,,,0.0
2020-08-14,2020,nc-portugal,gc,L.A. Aluminios / L.A. Sport,NC,,,1,,0.0,,,0.0
2020-08-16,2020,nc-portugal2,gc,L.A. Aluminios / L.A. Sport,NC,,,1,,0.0,,,0.0
2020-09-27,2020,volta-a-portugal,gc,L.A. Aluminios / L.A. Sport,2.1,89.0,0.0,1,,3.0,,,3.0
2020-02-19,2020,volta-ao-algarve,gc,L.A. Aluminios / L.A. Sport,2.Pro,141.0,0.0,1,,0.0,,,0.0
2021-07-16,2021,gp-int-torres-vedras,gc,L.A. Aluminios / L.A. Sport,2.2,90.0,0.0,1,,0.0,,,0.0
2021-06-20,2021,nc-portugal2,gc,L.A. Aluminios / L.A. Sport,NC,,,1,,0.0,,,0.0
2021-05-02,2021,trofeu-da-arrabida,gc,L.A. Aluminios / L.A. Sport,1.2,,,1,,0.0,,,0.0
2021-08-04,2021,volta-a-portugal,gc,L.A. Aluminios / L.A. Sport,2.1,73.0,0.0,1,,3.0,,,3.0
2021-06-23,2021,volta-ao-alentejo,gc,L.A. Aluminios / L.A. Sport,2.2,,0,0,,0.0,,,0.0
2021-05-05,2021,volta-ao-algarve,gc,L.A. Aluminios / L.A. Sport,2.Pro,149.0,0.0,1,,0.0,,,0.0
