date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-08-29,2021,gp-de-la-somme,gc,Dunkerque Grand Littoral-Cofidis,1.2,,0,0,,0.0,,,0.0
2021-07-18,2021,gp-de-la-ville-de-nogent-sur-oise,gc,Dunkerque Grand Littoral-Cofidis,1.2,,,1,,0.0,,,10.0
2021-07-25,2021,grand-prix-de-la-ville-de-perenchies,gc,Dunkerque Grand Littoral-Cofidis,1.2,,0,0,,0.0,,,0.0
2021-10-17,2021,paris-mantes-en-yvelines,gc,Dunkerque Grand Littoral-Cofidis,1.2,,,1,,0.0,,,0.0
2022-04-06,2022,circuit-des-ardennes,gc,Premier Tech U23 Cycling Project,2.2,,0,0,,0.0,,,0.0
2022-05-08,2022,fleche-ardennaise,gc,Premier Tech U23 Cycling Project,1.2,,0,0,,0.0,,,5.0
2022-09-11,2022,gp-de-la-somme,gc,CC Nogent-sur-Oise,1.2,,0,0,,0.0,,,0.0
2022-03-06,2022,gp-de-la-ville-de-lillers,gc,CC Nogent-sur-Oise,1.2,,,1,,0.0,,,0.0
2022-03-06,2022,gp-de-la-ville-de-lillers,gc,Premier Tech U23 Cycling Project,1.2,,0,0,,0.0,,,0.0
2022-07-10,2022,gp-de-la-ville-de-nogent-sur-oise,gc,CC Nogent-sur-Oise,1.2,,,1,,0.0,,,3.0
2022-07-10,2022,gp-de-la-ville-de-nogent-sur-oise,gc,Premier Tech U23 Cycling Project,1.2,,0,0,,0.0,,,0.0
2022-05-14,2022,gp-de-plumelec,gc,Premier Tech U23 Cycling Project,1.Pro,,0,0,,0.0,,,0.0
2022-07-24,2022,grand-prix-de-la-ville-de-perenchies,gc,CC Nogent-sur-Oise,1.2,,0,0,,0.0,,,0.0
2022-07-24,2022,grand-prix-de-la-ville-de-perenchies,gc,Premier Tech U23 Cycling Project,1.2,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-canada2,gc,Premier Tech U23 Cycling Project,NC,,0,0,,0.0,,,70.0
2022-06-26,2022,nc-united-states,gc,Premier Tech U23 Cycling Project,NC,,0,0,,0.0,,,0.0
2022-06-23,2022,nc-usa-itt,gc,Premier Tech U23 Cycling Project,NC,,0,0,,0.0,,,0.0
2022-06-06,2022,paris-troyes,gc,CC Nogent-sur-Oise,1.2,,,1,,0.0,,,25.0
2022-06-06,2022,paris-troyes,gc,Premier Tech U23 Cycling Project,1.2,,0,0,,0.0,,,0.0
2022-06-02,2022,ronde-de-l-oise,gc,CC Nogent-sur-Oise,2.2,,0,0,,0.0,,,1.0
2022-06-02,2022,ronde-de-l-oise,gc,Premier Tech U23 Cycling Project,2.2,,0,0,,0.0,,,0.0
2022-07-28,2022,tour-alsace,gc,Premier Tech U23 Cycling Project,2.2,,0,0,,0.0,,,0.0
2022-08-05,2022,tour-cycliste-international-de-la-guadeloupe,gc,Premier Tech U23 Cycling Project,2.2,14.0,0.0,1,,20.0,,,42.0
2022-05-26,2022,tour-de-la-mirabelle,gc,Premier Tech U23 Cycling Project,2.2,,0,0,,3.0,,,3.0
2022-03-21,2022,tour-de-normadie,gc,CC Nogent-sur-Oise,2.2,,0,0,,0.0,,,0.0
2022-03-21,2022,tour-de-normadie,gc,Premier Tech U23 Cycling Project,2.2,,0,0,,3.0,,,3.0
2022-05-21,2022,tour-du-finistere,gc,Premier Tech U23 Cycling Project,1.1,,0,0,,0.0,,,0.0
