date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2020-10-06,2020,tour-of-thailand,gc,Grant Thornton Bike Zone,2.1,53.0,0.0,1,,5.0,,,5.0
2022-05-21,2022,south-east-asian-games,gc,Thailand,JR,,0,0,,0.0,,,0.0
2022-05-20,2022,south-east-asian-games-itt,gc,Thailand,JR,,0,0,,0.0,,,0.0
2022-10-11,2022,tour-de-langkawi,gc,Thailand,2.Pro,86.0,0.0,1,,0.0,,,0.0
2022-10-02,2022,tour-de-taiwan,gc,Thailand,2.1,,0,0,,3.0,,,3.0
2022-04-01,2022,tour-of-thailand,gc,Thailand,2.1,,0,0,,3.0,,,17.0
2022-09-25,2022,world-championship,gc,Thailand,WC,,0,0,,0.0,,,0.0
2023-04-01,2023,tour-of-thailand,gc,Grant Thornton Cycling Team,2.1,45.0,0.0,1,,0.0,,,0.0
2024-07-22,2024,banyuwangi-tour-de-ijen,gc,Grant Thornton Cycling Team,2.2,,,1,,0.0,,,0.0
2024-03-30,2024,bueng-si-fai-international-road-race,gc,Grant Thornton Cycling Team,1.2,,,1,,0.0,,,0.0
2024-01-21,2024,nc-thailand,gc,Grant Thornton Cycling Team,NC,,0,0,,0.0,,,30.0
2024-01-19,2024,nc-thailand-itt,gc,Grant Thornton Cycling Team,NC,,0,0,,0.0,,,0.0
2024-03-10,2024,tour-de-taiwan,gc,Grant Thornton Cycling Team,2.1,77.0,0.0,1,,0.0,,,-15.0
2024-04-01,2024,tour-of-thailand,gc,Grant Thornton Cycling Team,2.1,26.0,0.0,1,,0.0,,,14.0
2025-01-19,2025,nc-thailand,gc,Grant Thornton Cycling Team,NC,,,1,,0.0,,,71.0
2025-01-17,2025,nc-thailand-itt,gc,Grant Thornton Cycling Team,NC,,,1,,0.0,,,3.0
2025-10-12,2025,tour-of-mentougou,gc,Grant Thornton Cycling Team,2.2,14.0,0.0,1,,0.0,,,0.0
2025-03-24,2025,tour-of-thailand,gc,Grant Thornton Cycling Team,2.1,33.0,0.0,1,,3.0,,,3.0
