date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-09-05,2019,giro-della-regione-friuli-venezia-giulia,gc,General Store - Essegibi - F.Lli Curia,2.2,,,1,,15.0,,,22.0
2020-09-19,2020,giro-dell-appennino,gc,General Store - Essegibi - F.Lli Curia,1.1,,,1,,0.0,,,0.0
2020-08-18,2020,giro-dell-emilia,gc,General Store - Essegibi - F.Lli Curia,1.Pro,,,1,,0.0,,,5.0
2020-10-09,2020,giro-della-regione-friuli-venezia-giulia,gc,General Store - Essegibi - F.Lli Curia,2.2,47.0,0.0,1,,0.0,,,0.0
2020-07-26,2020,gp-kranj,gc,General Store - Essegibi - F.Lli Curia,1.2,,,1,,0.0,,,0.0
2020-08-30,2020,memorial-marco-pantani,gc,General Store - Essegibi - F.Lli Curia,1.1,,,1,,0.0,,,0.0
2020-08-23,2020,nc-italy,gc,General Store - Essegibi - F.Lli Curia,NC,,,1,,0.0,,,0.0
2020-08-21,2020,nc-italy-itt,gc,General Store - Essegibi - F.Lli Curia,NC,,0,0,,0.0,,,5.0
2020-02-16,2020,trofeo-laigueglia,gc,General Store - Essegibi - F.Lli Curia,1.Pro,,,1,,0.0,,,10.0
2020-08-29,2020,trofeo-matteotti,gc,General Store - Essegibi - F.Lli Curia,1.1,,,1,,0.0,,,6.0
2021-05-02,2021,circuito-del-porto-trofeo-arvedi,gc,D'Amico - UM Tools,1.2,,0,0,,0.0,,,0.0
2021-10-11,2021,coppa-agostoni,gc,D'Amico - UM Tools,1.1,,,1,,0.0,,,0.0
2021-06-24,2021,giro-dell-appennino,gc,D'Amico - UM Tools,1.1,,,1,,0.0,,,3.0
2021-09-28,2021,giro-di-sicilia,gc,D'Amico - UM Tools,2.1,,,1,,0.0,,,0.0
2021-09-15,2021,giro-di-toscana,gc,D'Amico - UM Tools,1.1,,,1,,0.0,,,0.0
2021-03-28,2021,gp-adria-mobil,gc,D'Amico - UM Tools,1.2,,,1,,0.0,,,0.0
2021-09-16,2021,gp-citta-di-peccioli,gc,D'Amico - UM Tools,1.Pro,,,1,,0.0,,,0.0
2021-03-21,2021,gp-izola-butan-plin,gc,D'Amico - UM Tools,1.2,,,1,,0.0,,,25.0
2021-07-25,2021,gp-kranj,gc,D'Amico - UM Tools,1.2,,,1,,0.0,,,0.0
2021-04-25,2021,gran-premio-della-liberazione,gc,D'Amico - UM Tools,1.2U,,0,0,,0.0,,,0.0
2021-07-18,2021,grand-prix-develi,gc,D'Amico - UM Tools,1.2,,0,0,,0.0,,,0.0
2021-07-11,2021,grand-prix-kayseri-me,gc,D'Amico - UM Tools,1.2,,0,0,,0.0,,,0.0
2021-07-17,2021,grand-prix-velo-erciyes-me,gc,D'Amico - UM Tools,1.2,,0,0,,0.0,,,0.0
2021-09-18,2021,memorial-marco-pantani,gc,D'Amico - UM Tools,1.1,,,1,,0.0,,,0.0
2021-06-20,2021,nc-italy,gc,D'Amico - UM Tools,NC,,,1,,0.0,,,0.0
2021-06-20,2021,nc-ukraine,gc,D'Amico - UM Tools,NC,,0,0,,0.0,,,5.0
2021-07-03,2021,sibiu-cycling-tour,gc,D'Amico - UM Tools,2.1,129.0,0.0,1,,0.0,,,0.0
2021-06-02,2021,trofeo-alcide-degasperi,gc,D'Amico - UM Tools,1.2,,,1,,0.0,,,0.0
2021-09-19,2021,trofeo-matteotti,gc,D'Amico - UM Tools,1.1,,,1,,0.0,,,0.0
2021-08-31,2021,turul-romaniei,gc,D'Amico - UM Tools,2.1,67.0,0.0,1,,28.0,,,36.0
