date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-06-28,2017,course-cycliste-de-solidarnosc,gc,CK Pribram Fany Gastro,2.2,36.0,0.0,1,,0.0,,,0.0
2017-08-11,2017,czech-tour,gc,CK Pribram Fany Gastro,2.1,42.0,0.0,1,,0.0,,,0.0
2017-09-16,2017,gp-czech-republic,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,8.0
2017-03-09,2017,istrian-spring-tour,gc,CK Pribram Fany Gastro,2.2,95.0,0.0,1,,0.0,,,0.0
2017-05-01,2017,memorial-andrzeja-trochanowskiego,gc,CK Pribram Fany Gastro,1.2,,0,0,,0.0,,,0.0
2017-05-02,2017,memorial-romana-sieminskiego,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,0.0
2017-06-25,2017,nc-czech-republic2,gc,CK Pribram Fany Gastro,NC,,,1,,0.0,,,10.0
2017-06-25,2017,nc-slovakia,gc,CK Pribram Fany Gastro,NC,,0,0,,0.0,,,0.0
2017-06-23,2017,nc-slovakia-itt,gc,CK Pribram Fany Gastro,NC,,0,0,,0.0,,,0.0
2017-08-31,2017,okolo-jiznich-cech,gc,CK Pribram Fany Gastro,2.2,38.0,0.0,1,,0.0,,,0.0
2017-03-04,2017,porec-trophy,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,0.0
2017-08-19,2017,puchar-ministra-obrony-narodowej,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,0.0
2017-08-20,2017,szlakiem-wielkich-jezior,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,0.0
2017-09-08,2017,tour-bohemia,gc,CK Pribram Fany Gastro,2.2,15.0,0.0,1,,0.0,,,0.0
2017-05-27,2017,tour-du-jura-cycliste,gc,CK Pribram Fany Gastro,2.2,60.0,0.0,1,,0.0,,,0.0
2017-06-02,2017,tour-of-bihor-bellotto,gc,CK Pribram Fany Gastro,2.2,21.0,0.0,1,,0.0,,,0.0
2017-06-09,2017,tour-of-malopolska,gc,CK Pribram Fany Gastro,2.2,12.0,0.0,1,,0.0,,,0.0
2017-03-01,2017,trofej-umag,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,0.0
2017-04-22,2017,visegrad-4-bicycle-race-gp-hungary,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,3.0
2017-09-17,2017,visegrad-4-bicycle-race-gp-polski-via-odra,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,10.0
2017-04-23,2017,visegrad-4-bicycle-race-gp-slovakia,gc,CK Pribram Fany Gastro,1.2,,,1,,0.0,,,0.0
2018-07-04,2018,course-cycliste-de-solidarnosc,gc,AC Sparta Praha,2.2,9.0,3.0,1,,3.0,,,3.0
2018-04-21,2018,gp-czech-republic,gc,AC Sparta Praha,1.2,,,1,,0.0,,,0.0
2018-09-30,2018,international-azerbaijan-tour,gc,AC Sparta Praha,2.1,6.0,40.0,1,,43.0,,,43.0
2018-08-11,2018,memorial-henryka-lasaka,gc,AC Sparta Praha,1.2,,,1,,0.0,,,20.0
2018-06-24,2018,nc-czech-republic2,gc,AC Sparta Praha,NC,,,1,,0.0,,,3.0
2018-08-12,2018,puchar-uzdrowisk-karpackich,gc,AC Sparta Praha,1.2,,,1,,0.0,,,0.0
2018-08-26,2018,schaal-schels,gc,AC Sparta Praha,1.1,,,1,,0.0,,,3.0
2018-05-11,2018,szlakiem-grodow-piastowskich,gc,AC Sparta Praha,2.2,45.0,0.0,1,,0.0,,,0.0
2018-06-01,2018,tour-of-bihor-bellotto,gc,AC Sparta Praha,2.2,21.0,0.0,1,,0.0,,,0.0
2018-11-14,2018,tour-of-fuzhou,gc,AC Sparta Praha,2.1,55.0,0.0,1,,0.0,,,0.0
2018-07-22,2018,tour-of-magnificent-qinghai,gc,AC Sparta Praha,2.HC,54.0,0.0,1,,0.0,,,0.0
2018-06-08,2018,tour-of-malopolska,gc,AC Sparta Praha,2.2,13.0,0.0,1,,0.0,,,0.0
2018-04-22,2018,visegrad-4-bicycle-race-gp-polski-via-odra,gc,AC Sparta Praha,1.2,,,1,,0.0,,,0.0
2018-04-28,2018,zodc-zuidenveld-tour,gc,AC Sparta Praha,1.2,,,1,,0.0,,,0.0
2019-04-18,2019,banja-luka-belgrade-i,gc,AC Sparta Praha,2.1,,,1,,0.0,,,0.0
2019-07-02,2019,course-cycliste-de-solidarnosc,gc,AC Sparta Praha,2.2,23.0,0.0,1,,10.0,,,10.0
2019-08-17,2019,memorial-henryka-lasaka,gc,AC Sparta Praha,1.2,,,1,,0.0,,,0.0
2019-06-30,2019,nc-czech-republic2,gc,AC Sparta Praha,NC,,,1,,0.0,,,75.0
2019-08-18,2019,puchar-uzdrowisk-karpackich,gc,AC Sparta Praha,1.2,,,1,,0.0,,,0.0
2019-06-11,2019,tour-de-hongrie,gc,AC Sparta Praha,2.1,80.0,0.0,1,,0.0,,,0.0
2019-08-30,2019,tour-of-almaty,gc,AC Sparta Praha,2.1,67.0,0.0,1,,0.0,,,0.0
2019-06-19,2019,tour-of-slovenia,gc,AC Sparta Praha,2.HC,82.0,0.0,1,,0.0,,,0.0
2019-04-28,2019,visegrad-4-bicycle-race-gp-polski-via-odra,gc,AC Sparta Praha,1.2,,0,0,,0.0,,,0.0
2020-09-09,2020,course-cycliste-de-solidarnosc,gc,AC Sparta Praha,2.2,53.0,0.0,1,,0.0,,,0.0
2020-08-20,2020,nc-czech-republic-itt,gc,AC Sparta Praha,NC,,0,0,,0.0,,,0.0
2020-08-22,2020,nc-czech-republic2,gc,AC Sparta Praha,NC,,,1,,0.0,,,0.0
2020-08-23,2020,nc-poland,gc,AC Sparta Praha,NC,,0,0,,0.0,,,0.0
2020-09-17,2020,tour-of-malopolska,gc,AC Sparta Praha,2.2,31.0,0.0,1,,0.0,,,0.0
2020-10-10,2020,visegrad-4-bicycle-race-gp-slovakia,gc,AC Sparta Praha,1.2,,,1,,0.0,,,26.0
2021-07-17,2021,gp-czech-republic,gc,Cycling Academy Trenčín,1.2,,,1,,0.0,,,0.0
2021-05-30,2021,gp-slovenia,gc,Cycling Academy Trenčín,1.2,,,1,,0.0,,,0.0
2021-06-28,2021,in-the-footsteps-of-the-romans,gc,Cycling Academy Trenčín,2.2,15.0,0.0,1,,10.0,,,10.0
2021-08-15,2021,memorial-henryka-lasaka,gc,Cycling Academy Trenčín,1.2,,0,0,,0.0,,,3.0
2021-06-20,2021,nc-czech-republic2,gc,Cycling Academy Trenčín,NC,,,1,,0.0,,,10.0
2021-06-20,2021,nc-slovakia,gc,Cycling Academy Trenčín,NC,,0,0,,0.0,,,46.0
2021-06-17,2021,nc-slovakia-itt,gc,Cycling Academy Trenčín,NC,,0,0,,0.0,,,3.0
2021-09-15,2021,okolo-slovenska,gc,Cycling Academy Trenčín,2.1,50.0,0.0,1,,0.0,,,0.0
2021-08-20,2021,szlakiem-grodow-piastowskich,gc,Cycling Academy Trenčín,2.2,13.0,0.0,1,,0.0,,,0.0
