date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-10-24,2021,nc-japan,gc,Nasu Blasen,NC,,,1,,0.0,,,1.0
2021-10-22,2021,nc-japan-itt,gc,Nasu Blasen,NC,,0,0,,0.0,,,0.0
2021-10-10,2021,oita-urban-classic,gc,Nasu Blasen,1.2,,0,0,,0.0,,,3.0
2021-05-28,2021,tour-of-japan,gc,Nasu Blasen,2.2,,0,0,,3.0,,,3.0
2022-10-16,2022,japan-cup,gc,Nasu Blasen,1.Pro,,,1,,0.0,,,5.0
2022-06-26,2022,nc-japan,gc,Nasu Blasen,NC,,,1,,0.0,,,0.0
2022-10-02,2022,oita-urban-classic,gc,Nasu Blasen,1.2,,,1,,0.0,,,0.0
2022-09-09,2022,tour-de-hokkaido,gc,Nasu Blasen,2.2,,0,0,,20.0,,,27.0
2022-05-27,2022,tour-de-kumano,gc,Nasu Blasen,2.2,,,1,,0.0,,,0.0
2022-11-13,2022,tour-de-okinawa,gc,Nasu Blasen,1.2,,,1,,0.0,,,20.0
2022-05-19,2022,tour-of-japan,gc,Nasu Blasen,2.2,,0,0,,0.0,,,0.0
2023-11-05,2023,mine-akiyoshi-dai-karst-international-road-race,gc,Sparkle Oita Racing Team,1.2,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-japan,gc,Sparkle Oita Racing Team,NC,,,1,,0.0,,,0.0
2023-10-01,2023,oita-urban-classic,gc,Sparkle Oita Racing Team,1.2,,,1,,0.0,,,0.0
2023-06-03,2023,tour-de-kumano,gc,Sparkle Oita Racing Team,2.2,,,1,,0.0,,,0.0
2023-10-07,2023,tour-de-kyushu,gc,Sparkle Oita Racing Team,2.1,,,1,,0.0,,,0.0
2023-09-23,2023,tour-of-binzhou,gc,Sparkle Oita Racing Team,2.2,78.0,0.0,1,,0.0,,,0.0
2023-05-21,2023,tour-of-japan,gc,Sparkle Oita Racing Team,2.1,,,1,,0.0,,,0.0
2024-06-23,2024,nc-japan,gc,Sparkle Oita Racing Team,NC,,,1,,0.0,,,0.0
2024-09-29,2024,oita-urban-classic,gc,Sparkle Oita Racing Team,1.2,,,1,,0.0,,,0.0
2024-05-10,2024,tour-de-kumano,gc,Sparkle Oita Racing Team,2.2,,,1,,0.0,,,0.0
2024-10-12,2024,tour-de-kyushu,gc,Sparkle Oita Racing Team,2.1,81.0,0.0,1,,0.0,,,0.0
2024-03-10,2024,tour-de-taiwan,gc,Sparkle Oita Racing Team,2.1,,0,0,,0.0,,,0.0
2025-06-22,2025,nc-japan,gc,Sparkle Oita Racing Team,NC,,,1,,0.0,,,0.0
2025-10-05,2025,oita-urban-classic,gc,Sparkle Oita Racing Team,1.2,,,1,,0.0,,,0.0
2025-05-08,2025,tour-de-kumano,gc,Sparkle Oita Racing Team,2.2,,,1,,0.0,,,0.0
2025-10-11,2025,tour-de-kyushu,gc,Sparkle Oita Racing Team,2.1,,,1,,0.0,,,0.0
2025-03-16,2025,tour-de-taiwan,gc,Sparkle Oita Racing Team,2.1,,0,0,,0.0,,,-5.0
2025-09-09,2025,tour-of-binzhou,gc,Sparkle Oita Racing Team,1.1,,,1,,0.0,,,38.0
