date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-07-31,2017,circuito-de-getxo,gc,Massi - Kuwait Cycling Project,1.1,,,1,,0.0,,,0.0
2017-06-03,2017,games-of-the-small-states-of-europe-me-itt,gc,Massi - Kuwait Cycling Project,JR,,0,0,,0.0,,,0.0
2017-06-02,2017,gp-internacional-beiras-e-serra-da-estrela,gc,Massi - Kuwait Cycling Project,2.1,,,1,,0.0,,,0.0
2017-08-22,2017,grand-prix-des-marbriers,gc,Massi - Kuwait Cycling Project,1.2,,0,0,,0.0,,,0.0
2017-07-08,2017,grote-prijs-jean-pierre-monsere,gc,Massi - Kuwait Cycling Project,1.1,,,1,,0.0,,,0.0
2017-09-11,2017,grote-prijs-marcel-kint,gc,Massi - Kuwait Cycling Project,1.2,,,1,,0.0,,,0.0
2017-03-30,2017,joe-martin-stage-race-me,gc,Massi - Kuwait Cycling Project,2.2,,0,0,,0.0,,,0.0
2017-04-09,2017,klasika-primavera,gc,Massi - Kuwait Cycling Project,1.1,,,1,,0.0,,,0.0
2017-07-09,2017,midden-brabant-poort-omloop,gc,Massi - Kuwait Cycling Project,1.2,,,1,,0.0,,,0.0
2017-06-25,2017,nc-spain,gc,Massi - Kuwait Cycling Project,NC,,0,0,,0.0,,,0.0
2017-06-23,2017,nc-spain-itt,gc,Massi - Kuwait Cycling Project,NC,,0,0,,0.0,,,0.0
2017-06-07,2017,okolo-slovenska,gc,Massi - Kuwait Cycling Project,2.1,,,1,,0.0,,,0.0
2017-09-24,2017,paris-chauny-classique,gc,Massi - Kuwait Cycling Project,1.2,,,1,,0.0,,,0.0
2017-07-25,2017,prueba-villafranca,gc,Massi - Kuwait Cycling Project,1.1,,,1,,0.0,,,0.0
2017-05-27,2017,tour-de-gironde,gc,Massi - Kuwait Cycling Project,2.2,,,1,,0.0,,,0.0
2017-10-01,2017,tour-de-vendee,gc,Massi - Kuwait Cycling Project,1.1,,,1,,0.0,,,0.0
2017-03-11,2017,tour-du-cameroun,gc,Naturablue Cycling Team,2.2,39.0,0.0,1,,3.0,,,17.0
2017-04-07,2017,tour-du-maroc,gc,Naturablue Cycling Team,2.2,,0,0,,0.0,,,0.0
2017-04-20,2017,tour-of-mersin,gc,Team Ziko Georgia,2.2,28.0,0.0,1,,0.0,,,0.0
2017-01-13,2017,vuelta-al-tachira,gc,Massi - Kuwait Cycling Project,2.2,,0,0,,0.0,,,0.0
2017-10-27,2017,vuelta-ciclista-a-venezuela,gc,Massi - Kuwait Cycling Project,2.2,,0,0,,3.0,,,3.0
2018-04-28,2018,banja-luka-belgrade-i,gc,Java-Partizan Pro Cycling Team,2.1,,0,0,,0.0,,,0.0
2018-09-26,2018,banyuwangi-tour-de-ijen,gc,Java-Partizan Pro Cycling Team,2.2,,,1,,0.0,,,1.0
2018-09-09,2018,chrono-champenois-masculin,gc,Java-Partizan Pro Cycling Team,1.2,,,1,,0.0,,,0.0
2018-05-24,2018,gp-cycliste-de-gemenc,gc,Java-Partizan Pro Cycling Team,2.2,,0,0,,0.0,,,0.0
2018-04-13,2018,gp-internacional-beiras-e-serra-da-estrela,gc,Java-Partizan Pro Cycling Team,2.1,,,1,,0.0,,,0.0
2018-07-29,2018,gp-kranj,gc,Java-Partizan Pro Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-04-08,2018,klasika-primavera,gc,Java-Partizan Pro Cycling Team,1.1,,,1,,0.0,,,0.0
2018-06-30,2018,mediterranean-games-itt,gc,Java-Partizan Pro Cycling Team,JR,,0,0,,0.0,,,0.0
2018-07-13,2018,national-championships-indonesia-itt,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-belgium,gc,Java-Partizan Pro Cycling Team,NC,,,1,,0.0,,,0.0
2018-06-24,2018,nc-greece,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,60.0
2018-06-22,2018,nc-greece-itt,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,20.0
2018-07-14,2018,nc-indonesia,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-serbia,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,8.0
2018-06-22,2018,nc-serbia-itt,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,10.0
2018-07-01,2018,ncgreat-britain,gc,Java-Partizan Pro Cycling Team,NC,,0,0,,0.0,,,0.0
