date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-05-07,2023,fleche-ardennaise,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2023-09-30,2023,gp-cerami,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2023-07-23,2023,grand-prix-de-la-ville-de-perenchies,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2023-06-04,2023,memorial-philippe-van-coningsloo,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,0.0
2023-07-19,2023,sd-worx-bw-classic,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2024-05-12,2024,fleche-ardennaise,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2024-09-28,2024,gp-cerami,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,0.0
2024-09-15,2024,gp-de-la-ville-de-nogent-sur-oise,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2024-07-21,2024,grand-prix-de-la-ville-de-perenchies,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2024-09-07,2024,grote-prijs-rik-van-looy,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,0.0
2024-09-08,2024,grote-prijs-stad-halle,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,ncgreat-britain,gc,Mini Discar Cycling Team,NC,,0.0,0,,0.0,,,0.0
2024-05-01,2024,omloop-van-het-waasland,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,3.0
2024-06-30,2024,sd-worx-bw-classic,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,3.0
2025-04-05,2025,boucle-de-l-artois,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,0.0
2025-05-03,2025,fleche-ardennaise,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2025-09-27,2025,gp-cerami,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,25.0
2025-07-27,2025,grand-prix-de-la-ville-de-perenchies,gc,Mini Discar Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2025-09-14,2025,grote-prijs-rik-van-looy,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,0.0
2025-08-31,2025,grote-prijs-stad-halle,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,3.0
2025-06-28,2025,nc-netherlands,gc,Mini Discar Cycling Team,NC,,0.0,0,,0.0,,,0.0
2025-05-01,2025,omloop-van-het-waasland,gc,Mini Discar Cycling Team,1.2,,,1,,0.0,,,0.0
