date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-08-23,2018,baltic-chain-tour,gc,Belarus,2.2,,0.0,0,,0.0,,,0.0
2018-07-25,2018,dookola-mazowsza,gc,Belarus,2.2,,,1,,0.0,,,0.0
2018-05-25,2018,tour-of-estonia,gc,Belarus,2.1,,0.0,0,,8.0,,,8.0
2018-08-08,2018,uec-road-european-championships-itt,gc,Belarus,CC,,0.0,0,,0.0,,,0.0
2018-08-12,2018,uec-road-european-championships-me,gc,Belarus,CC,,0.0,0,,0.0,,,0.0
2018-09-30,2018,world-championship,gc,Belarus,WC,,0.0,0,,0.0,,,0.0
2018-09-26,2018,world-championship-itt,gc,Belarus,WC,,0.0,0,,0.0,,,60.0
2019-04-18,2019,banja-luka-belgrade-i,gc,Minsk Cycling Club,2.1,,0.0,0,,0.0,,,0.0
2019-05-23,2019,chabany-race,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,33.0
2019-04-12,2019,circuit-des-ardennes,gc,Minsk Cycling Club,2.2,,0.0,0,,0.0,,,0.0
2019-05-01,2019,five-rings-of-moscow,gc,Minsk Cycling Club,2.2,,0.0,0,,50.0,,,64.0
2019-04-07,2019,gp-adria-mobil,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,0.0
2019-02-10,2019,grand-prix-alanya,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,3.0
2019-09-20,2019,grand-prix-erciyes-mimar-sinan-me,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,45.0
2019-02-09,2019,grand-prix-gazipasa,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,40.0
2019-03-10,2019,grand-prix-justiniano-hotels,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,33.0
2019-05-12,2019,grand-prix-minsk,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,20.0
2019-03-09,2019,grand-prix-velo-alanya,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,40.0
2019-09-06,2019,grand-prix-velo-erciyes-me,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,45.0
2019-05-26,2019,horizon-park-classic,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,43.0
2019-10-02,2019,international-azerbaijan-tour,gc,Minsk Cycling Club,2.1,,0.0,0,,13.0,,,16.0
2019-08-17,2019,memorial-henryka-lasaka,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,10.0
2019-05-11,2019,minsk-cup,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,0.0
2019-06-28,2019,nc-azerbaijan,gc,Minsk Cycling Club,NC,,0.0,0,,0.0,,,75.0
2019-06-26,2019,nc-azerbaijan-itt,gc,Minsk Cycling Club,NC,,0.0,0,,0.0,,,30.0
2019-06-16,2019,nc-belarus,gc,Minsk Cycling Club,NC,,0.0,0,,0.0,,,364.0
2019-06-14,2019,nc-belarus-itt,gc,Minsk Cycling Club,NC,,0.0,0,,0.0,,,112.0
2019-06-30,2019,nc-russia,gc,Minsk Cycling Club,NC,,0.0,0,,0.0,,,0.0
2019-06-02,2019,odessa-gp,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,33.0
2019-08-15,2019,puchar-ministra-obrony-narodowej,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,20.0
2019-08-18,2019,puchar-uzdrowisk-karpackich,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,0.0
2019-05-24,2019,race-horizon-park,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,40.0
2019-05-25,2019,race-horizon-park-2,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,38.0
2019-05-31,2019,szlakiem-walk-majora-hubala,gc,Minsk Cycling Club,2.1,,0.0,0,,5.0,,,5.0
2019-06-01,2019,tour-de-ribas,gc,Minsk Cycling Club,1.2,,0.0,0,,0.0,,,18.0
2019-02-21,2019,tour-of-antalya,gc,Minsk Cycling Club,2.2,,0.0,0,,0.0,,,0.0
2019-06-07,2019,tour-of-bihor-bellotto,gc,Minsk Cycling Club,2.1,,0.0,0,,13.0,,,13.0
2019-05-17,2019,tour-of-black-sea,gc,Minsk Cycling Club,2.2,,0.0,0,,30.0,,,34.0
2019-09-07,2019,tour-of-central-anatolia,gc,Minsk Cycling Club,2.2,,0.0,0,,48.0,,,54.0
2019-09-07,2019,tour-of-china,gc,Minsk Cycling Club,2.1,,0.0,0,,115.0,,,120.0
2019-09-16,2019,tour-of-china-ii,gc,Minsk Cycling Club,2.1,,0.0,0,,18.0,,,18.0
2019-05-23,2019,tour-of-estonia,gc,Minsk Cycling Club,2.1,,0.0,0,,5.0,,,8.0
2019-11-17,2019,tour-of-fuzhou,gc,Minsk Cycling Club,2.1,,0.0,0,,15.0,,,15.0
2019-09-21,2019,tour-of-kayseri,gc,Minsk Cycling Club,2.2,,0.0,0,,18.0,,,25.0
2019-07-15,2019,tour-of-magnificent-qinghai,gc,Minsk Cycling Club,2.HC,,0.0,0,,35.0,,,70.0
2019-04-25,2019,tour-of-mersin,gc,Minsk Cycling Club,2.2,,0.0,0,,45.0,,,52.0
2019-05-02,2019,tour-of-mesopotamia,gc,Minsk Cycling Club,2.2,,0.0,0,,43.0,,,50.0
2019-08-07,2019,tour-of-szeklerland,gc,Minsk Cycling Club,2.2,,0.0,0,,0.0,,,0.0
2019-10-09,2019,tour-of-taihu-lake,gc,Minsk Cycling Club,2.1,,0.0,0,,0.0,,,0.0
2019-09-02,2019,tour-of-xingtai,gc,Minsk Cycling Club,2.2,,0.0,0,,23.0,,,31.0
