date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-06-15,2024,nc-eritrea,gc,Java - Inovotec Pro Team,NC,,0.0,0,,0.0,,,0.0
2024-08-18,2024,nc-rwanda,gc,Java - Inovotec Pro Team,NC,,,1,,0.0,,,72.0
2024-08-17,2024,nc-rwanda-itt,gc,Java - Inovotec Pro Team,NC,,0.0,0,,0.0,,,68.0
2024-02-19,2024,tour-of-rwanda,gc,Java - Inovotec Pro Team,2.1,,,1,,3.0,,,-12.0
2025-06-28,2025,national-championships-uganda-itt,gc,Java - Inovotec Pro Team,NC,,0.0,0,,0.0,,,10.0
2025-06-29,2025,nc-ethiopia,gc,Java - Inovotec Pro Team,NC,,0.0,0,,0.0,,,1.0
2025-06-25,2025,nc-ethiopia-itt,gc,Java - Inovotec Pro Team,NC,,0.0,0,,0.0,,,0.0
2025-06-29,2025,nc-rwanda,gc,Java - Inovotec Pro Team,NC,,,1,,0.0,,,5.0
2025-06-28,2025,nc-rwanda-itt,gc,Java - Inovotec Pro Team,NC,,0.0,0,,0.0,,,25.0
2025-06-29,2025,nc-uganda,gc,Java - Inovotec Pro Team,NC,,0.0,0,,0.0,,,3.0
2025-02-23,2025,tour-of-rwanda,gc,Java - Inovotec Pro Team,2.1,,0.0,0,,13.0,,,13.0
