date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-15,2021,adriatica-ionica-race,gc,Team Colpack Ballan,2.1,45.0,0.0,1,,0.0,,,5.0
2021-05-02,2021,circuito-del-porto-trofeo-arvedi,gc,Team Colpack Ballan,1.2,,0,0,,0.0,,,38.0
2021-10-04,2021,coppa-bernocchi,gc,Team Colpack Ballan,1.Pro,,,1,,0.0,,,0.0
2021-06-03,2021,giro-ciclistico-d-italia,gc,Team Colpack Ballan,2.2,,0,0,,50.0,,,85.0
2021-07-04,2021,giro-del-medio-brenta,gc,Team Colpack Ballan,1.2,,,1,,0.0,,,30.0
2021-09-03,2021,giro-della-regione-friuli-venezia-giulia,gc,Team Colpack Ballan,2.2,,0,0,,30.0,,,30.0
2021-09-28,2021,giro-di-sicilia,gc,Team Colpack Ballan,2.1,,0,0,,3.0,,,3.0
2021-03-07,2021,gp-industria-artigianato,gc,Team Colpack Ballan,1.Pro,,0,0,,0.0,,,0.0
2021-04-25,2021,gran-premio-della-liberazione,gc,Team Colpack Ballan,1.2U,,,1,,0.0,,,30.0
2021-03-11,2021,istrian-spring-tour,gc,Team Colpack Ballan,2.2,,,1,,0.0,,,0.0
2021-09-18,2021,memorial-marco-pantani,gc,Team Colpack Ballan,1.1,,,1,,0.0,,,0.0
2021-03-21,2021,per-sempre-alfredo,gc,Team Colpack Ballan,1.1,,0,0,,0.0,,,0.0
2021-03-07,2021,porec-trophy,gc,Team Colpack Ballan,1.2,,,1,,0.0,,,10.0
2021-03-03,2021,trofej-umag,gc,Team Colpack Ballan,1.2,,,1,,0.0,,,21.0
2021-03-03,2021,trofeo-laigueglia,gc,Team Colpack Ballan,1.Pro,,0,0,,0.0,,,0.0
2021-09-19,2021,trofeo-matteotti,gc,Team Colpack Ballan,1.1,,,1,,0.0,,,3.0
2022-06-04,2022,adriatica-ionica-race,gc,Team Colpack Ballan,2.1,,0,0,,0.0,,,0.0
2022-04-06,2022,circuit-des-ardennes,gc,Team Colpack Ballan,2.2,,,1,,0.0,,,0.0
2022-05-01,2022,circuito-del-porto-trofeo-arvedi,gc,Team Colpack Ballan,1.2,,0,0,,0.0,,,40.0
2022-07-03,2022,giro-del-medio-brenta,gc,Team Colpack Ballan,1.2,,0,0,,0.0,,,3.0
2022-09-02,2022,giro-della-regione-friuli-venezia-giulia,gc,Team Colpack Ballan,2.2,,0,0,,0.0,,,3.0
2022-03-20,2022,per-sempre-alfredo,gc,Team Colpack Ballan,1.1,,,1,,0.0,,,5.0
2022-03-20,2022,popolarissima,gc,Team Colpack Ballan,1.2,,0,0,,0.0,,,70.0
2022-03-22,2022,settimana-internazionale-coppi-e-bartali,gc,Team Colpack Ballan,2.1,,,1,,0.0,,,0.0
2022-06-02,2022,trofeo-alcide-degasperi,gc,Team Colpack Ballan,1.2,,0,0,,0.0,,,18.0
2022-07-05,2022,trofeo-citta-di-brescia,gc,Team Colpack Ballan,1.2,,,1,,0.0,,,0.0
2022-03-02,2022,trofeo-laigueglia,gc,Team Colpack Ballan,1.Pro,,,1,,0.0,,,0.0
2023-06-07,2023,aziz-shusha,gc,Team Technipes #inEmiliaRomagna,2.2,,0,0,,48.0,,,69.0
2023-05-01,2023,circuito-del-porto-trofeo-arvedi,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-10-03,2023,coppa-citta-di-san-daniele2,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-05-27,2023,due-giorni-marchigiana-gp-santa-rita,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,33.0
2023-06-02,2023,giro-dell-appennino,gc,Team Technipes #inEmiliaRomagna,1.1,,0,0,,0.0,,,3.0
2023-09-30,2023,giro-dell-emilia,gc,Team Technipes #inEmiliaRomagna,1.Pro,,0,0,,0.0,,,0.0
2023-08-31,2023,giro-della-regione-friuli-venezia-giulia,gc,Team Technipes #inEmiliaRomagna,2.2,,0,0,,0.0,,,1.0
2023-04-16,2023,giro-di-reggio-calabria,gc,Team Technipes #inEmiliaRomagna,1.1,,0,0,,0.0,,,3.0
2023-04-11,2023,giro-di-sicilia,gc,Team Technipes #inEmiliaRomagna,2.1,,0,0,,3.0,,,3.0
2023-09-14,2023,gp-citta-di-peccioli,gc,Team Technipes #inEmiliaRomagna,1.Pro,,0,0,,0.0,,,0.0
2023-03-26,2023,gp-industria-artigianato,gc,Team Technipes #inEmiliaRomagna,1.Pro,,0,0,,0.0,,,0.0
2023-03-09,2023,istrian-spring-tour,gc,Team Technipes #inEmiliaRomagna,2.2,,0,0,,5.0,,,5.0
2023-09-16,2023,memorial-marco-pantani,gc,Team Technipes #inEmiliaRomagna,1.1,,,1,,0.0,,,0.0
2023-06-24,2023,nc-italy,gc,Team Technipes #inEmiliaRomagna,NC,,0,0,,0.0,,,0.0
2023-03-19,2023,per-sempre-alfredo,gc,Team Technipes #inEmiliaRomagna,1.1,,0,0,,0.0,,,5.0
2023-03-19,2023,popolarissima,gc,Team Technipes #inEmiliaRomagna,1.2,,,1,,0.0,,,0.0
2023-03-05,2023,porec-trophy,gc,Team Technipes #inEmiliaRomagna,1.2,,,1,,0.0,,,0.0
2023-03-21,2023,settimana-internazionale-coppi-e-bartali,gc,Team Technipes #inEmiliaRomagna,2.1,,,1,,0.0,,,0.0
