date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-03-05,2017,3daagse-van-west-vlaanderen,gc,Delta Cycling Rotterdam,1.1,,0,0,,0.0,,,3.0
2017-04-22,2017,arno-wallaard-memorial,gc,Delta Cycling Rotterdam,1.2,,,1,,0.0,,,3.0
2017-06-01,2017,course-de-la-paix-u23,gc,Delta Cycling Rotterdam,2.Ncup,,0,0,,0.0,,,0.0
2017-04-29,2017,destination-thy,gc,Delta Cycling Rotterdam,1.2,,,1,,0.0,,,20.0
2017-03-12,2017,dorpenomloop-rucphen,gc,Delta Cycling Rotterdam,1.2,,,1,,0.0,,,10.0
2017-08-23,2017,druivenkoers-overijse,gc,Delta Cycling Rotterdam,1.1,,,1,,0.0,,,3.0
2017-06-10,2017,dwars-door-de-vlaamse-ardennen,gc,Delta Cycling Rotterdam,1.2,,0,0,,0.0,,,0.0
2017-10-11,2017,famenne-ardenne-classic,gc,Delta Cycling Rotterdam,1.1,,,1,,0.0,,,0.0
2017-09-24,2017,gooikse-pijl,gc,Delta Cycling Rotterdam,1.2,,0,0,,0.0,,,15.0
2017-05-06,2017,hadeland-gp,gc,Delta Cycling Rotterdam,1.2,,0,0,,0.0,,,0.0
2017-04-28,2017,himmerland-rundt,gc,Delta Cycling Rotterdam,1.2,,,1,,0.0,,,3.0
2017-06-28,2017,int-wielertrofee-jong-maar-moedig-iwt,gc,Delta Cycling Rotterdam,1.2,,0,0,,0.0,,,15.0
2017-09-15,2017,kampioenschap-van-vlaanderen1,gc,Delta Cycling Rotterdam,1.1,,0,0,,0.0,,,3.0
2017-07-29,2017,kreiz-breizh-elites,gc,Delta Cycling Rotterdam,2.2,,0,0,,0.0,,,1.0
2017-10-17,2017,nationale-sluitingsprijs-putte-kapellen,gc,Delta Cycling Rotterdam,1.1,,,1,,0.0,,,3.0
2017-06-25,2017,nc-netherlands,gc,Delta Cycling Rotterdam,NC,,0,0,,0.0,,,0.0
2017-06-21,2017,nc-netherlands-itt,gc,Delta Cycling Rotterdam,NC,,0,0,,0.0,,,0.0
2017-06-08,2017,oberosterreichrundfahrt,gc,Delta Cycling Rotterdam,2.2,16.0,0.0,1,,10.0,,,13.0
2017-08-31,2017,okolo-jiznich-cech,gc,Delta Cycling Rotterdam,2.2,,0,0,,0.0,,,14.0
2017-05-21,2017,ras-tailteann,gc,Delta Cycling Rotterdam,2.2,,0,0,,30.0,,,52.0
2017-05-07,2017,ringerike-gp,gc,Delta Cycling Rotterdam,1.2,,0,0,,0.0,,,0.0
2017-03-11,2017,ronde-van-drenthe,gc,Delta Cycling Rotterdam,1.1,,0,0,,0.0,,,125.0
2017-06-11,2017,ronde-van-limburg,gc,Delta Cycling Rotterdam,1.1,,0,0,,0.0,,,20.0
2017-08-27,2017,ronde-van-midden-nederland,gc,Delta Cycling Rotterdam,2.2,20.0,0.0,1,,0.0,,,0.0
2017-05-14,2017,ronde-van-noord-holland,gc,Delta Cycling Rotterdam,1.2,,0,0,,0.0,,,18.0
2017-04-30,2017,skive-lobet,gc,Delta Cycling Rotterdam,1.2,,,1,,0.0,,,0.0
2017-07-02,2017,slag-om-norg,gc,Delta Cycling Rotterdam,1.1,,,1,,0.0,,,73.0
2017-10-14,2017,tacx-pro-classic,gc,Delta Cycling Rotterdam,1.1,,,1,,0.0,,,0.0
2017-03-20,2017,tour-de-normadie,gc,Delta Cycling Rotterdam,2.2,,0,0,,0.0,,,7.0
2017-04-17,2017,tro-bro-leon,gc,Delta Cycling Rotterdam,1.1,,,1,,0.0,,,0.0
2017-08-18,2017,veenendaal-veenendaal,gc,Delta Cycling Rotterdam,1.1,,0,0,,0.0,,,6.0
2017-04-01,2017,volta-nxt-classic,gc,Delta Cycling Rotterdam,1.1,,,1,,0.0,,,3.0
2018-03-04,2018,3daagse-van-west-vlaanderen,gc,Delta Cycling Rotterdam,1.1,,0,0,,0.0,,,0.0
