date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-08-11,2019,antwerpse-havenpijl,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,3.0
2019-04-12,2019,circuit-des-ardennes,gc,Wallonie-Bruxelles Development Team,2.2,,,1,,0.0,,,0.0
2019-09-14,2019,de-kustpijl,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,0.0
2019-05-12,2019,fleche-ardennaise,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,0.0
2019-09-22,2019,gooikse-pijl,gc,Wallonie-Bruxelles Development Team,1.1,,0,0,,0.0,,,0.0
2019-09-01,2019,gp-de-la-ville-de-nogent-sur-oise,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,0.0
2019-05-19,2019,grand-prix-criquielion,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,10.0
2019-07-28,2019,grand-prix-de-la-ville-de-perenchies,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,40.0
2019-08-20,2019,grand-prix-des-marbriers,gc,Wallonie-Bruxelles Development Team,1.2,,,1,,0.0,,,20.0
2019-06-26,2019,int-wielertrofee-jong-maar-moedig-iwt,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,0.0
2019-06-09,2019,memorial-philippe-van-coningsloo,gc,Wallonie-Bruxelles Development Team,1.2,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-luxembourg,gc,Wallonie-Bruxelles Development Team,NC,,0,0,,0.0,,,5.0
2019-03-25,2019,tour-de-normadie,gc,Wallonie-Bruxelles Development Team,2.2,86.0,0.0,1,,0.0,,,0.0
2019-04-27,2019,tour-du-jura-cycliste,gc,Wallonie-Bruxelles Development Team,2.2,36.0,0.0,1,,0.0,,,0.0
2020-02-04,2020,alula-tour,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,0.0,,,0.0
2020-09-13,2020,antwerp-port-epic,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,78.0
2020-10-07,2020,brabantse-pijl,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,18.0
2020-08-30,2020,brussels-cycling-classic,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,10.0
2020-08-02,2020,circuito-de-getxo,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,38.0
2020-02-16,2020,clasica-de-almeria,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,16.0
2020-10-21,2020,classic-brugge-de-panne,gc,Bingoal - Wallonie Bruxelles,1.UWT,,0,0,,0.0,,,0.0
2020-08-07,2020,czech-tour,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,0.0,,,0.0
2020-08-29,2020,druivenkoers-overijse,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,50.0
2020-08-15,2020,dwars-door-het-hageland,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,35.0
2020-02-05,2020,etoile-de-besseges,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,5.0,,,5.0
2020-02-29,2020,faun-ardeche-classic,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,25.0
2020-10-11,2020,gent-wevelgem,gc,Bingoal - Wallonie Bruxelles,1.UWT,,0,0,,0.0,,,0.0
2020-08-18,2020,giro-dell-emilia,gc,Bingoal - Wallonie Bruxelles,1.Pro,,,1,,0.0,,,0.0
2020-09-20,2020,gooikse-pijl,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,6.0
2020-09-20,2020,gp-d-isbergues,gc,Bingoal - Wallonie Bruxelles,1.1,,,1,,0.0,,,43.0
2020-02-02,2020,gp-d-ouverture,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,6.0
2020-03-08,2020,gp-de-la-ville-de-lillers,gc,Bingoal - Wallonie Bruxelles,1.2,,0,0,,0.0,,,40.0
2020-03-03,2020,gp-samyn,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,15.0
2020-03-08,2020,grote-prijs-jean-pierre-monsere,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,40.0
2020-03-01,2020,kuurne-brussel-kuurne,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,3.0
2020-03-01,2020,la-drome-classic,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,5.0
2020-09-30,2020,la-fleche-wallonne,gc,Bingoal - Wallonie Bruxelles,1.UWT,,0,0,,0.0,,,56.0
2020-10-04,2020,liege-bastogne-liege,gc,Bingoal - Wallonie Bruxelles,1.UWT,,0,0,,0.0,,,23.0
2020-08-30,2020,memorial-marco-pantani,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,11.0
2020-09-22,2020,nc-belgium,gc,Bingoal - Wallonie Bruxelles,NC,,0,0,,0.0,,,11.0
2020-08-20,2020,nc-estonia,gc,Bingoal - Wallonie Bruxelles,NC,,0,0,,0.0,,,0.0
2020-08-23,2020,nc-luxembourg,gc,Bingoal - Wallonie Bruxelles,NC,,0,0,,0.0,,,70.0
2020-10-31,2020,nc-switserland,gc,Bingoal - Wallonie Bruxelles,NC,,0,0,,0.0,,,0.0
2020-02-29,2020,omloop-het-nieuwsblad,gc,Bingoal - Wallonie Bruxelles,1.UWT,,0,0,,0.0,,,0.0
2020-09-22,2020,paris-camembert,gc,Bingoal - Wallonie Bruxelles,1.1,,,1,,0.0,,,23.0
2020-09-27,2020,paris-chauny-classique,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,3.0
2020-10-11,2020,paris-tours,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,28.0
2020-09-29,2020,renewi-tour,gc,Bingoal - Wallonie Bruxelles,2.UWT,,0,0,,4.0,,,4.0
2020-10-18,2020,ronde-van-vlaanderen,gc,Bingoal - Wallonie Bruxelles,1.UWT,,0,0,,0.0,,,20.0
2020-02-19,2020,ruta-del-sol,gc,Bingoal - Wallonie Bruxelles,2.Pro,,0,0,,0.0,,,0.0
2020-10-14,2020,scheldeprijs,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,0.0
2020-08-29,2020,tour-de-hongrie,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,30.0,,,30.0
2020-09-15,2020,tour-de-luxembourg,gc,Bingoal - Wallonie Bruxelles,2.Pro,,0,0,,28.0,,,28.0
2020-08-16,2020,tour-de-wallonie,gc,Bingoal - Wallonie Bruxelles,2.Pro,,0,0,,30.0,,,30.0
2020-02-21,2020,tour-des-alpes-maritimes,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,3.0,,,3.0
2020-09-06,2020,tour-du-doubs,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,31.0
2020-08-18,2020,tour-du-limousin,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,6.0,,,14.0
2020-02-20,2020,tour-of-antalya,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,15.0,,,15.0
2020-08-29,2020,trofeo-matteotti,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,53.0
2020-07-28,2020,vuelta-a-burgos,gc,Bingoal - Wallonie Bruxelles,2.Pro,,0,0,,5.0,,,5.0
2020-02-14,2020,vuelta-ciclista-a-la-region-de-murcia,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,6.0,,,6.0
2021-04-18,2021,amstel-gold-race,gc,Bingoal Pauwels Sauces WB,1.UWT,,0,0,,0.0,,,10.0
2021-09-12,2021,antwerp-port-epic,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,41.0
2021-08-05,2021,arctic-race-of-norway,gc,Bingoal Pauwels Sauces WB,2.Pro,,0,0,,20.0,,,20.0
2021-05-27,2021,boucles-de-la-mayenne,gc,Bingoal Pauwels Sauces WB,2.Pro,,0,0,,10.0,,,10.0
2021-04-14,2021,brabantse-pijl,gc,Bingoal Pauwels Sauces WB,1.Pro,,0,0,,0.0,,,18.0
2021-03-19,2021,bredene-koksijde-classic,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,76.0
2021-08-28,2021,brussels-cycling-classic,gc,Bingoal Pauwels Sauces WB,1.Pro,,0,0,,0.0,,,10.0
2021-03-28,2021,cholet-pays-de-loire,gc,Bingoal Pauwels Sauces WB,1.1,,,1,,0.0,,,5.0
2021-10-17,2021,chrono-des-nations,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,3.0
2021-05-13,2021,circuit-de-wallonie,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,60.0
2021-06-06,2021,circuit-des-xi-villes,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,5.0
2021-09-29,2021,circuit-franco-belge,gc,Bingoal Pauwels Sauces WB,1.Pro,,0,0,,0.0,,,23.0
2021-02-14,2021,clasica-de-almeria,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,90.0
2021-03-24,2021,classic-brugge-de-panne,gc,Bingoal - Wallonie Bruxelles,1.UWT,,0,0,,0.0,,,170.0
2021-09-03,2021,classic-grand-besancon-doubs,gc,Bingoal Pauwels Sauces WB,1.1,,,1,,0.0,,,20.0
2021-08-26,2021,druivenkoers-overijse,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,30.0
2021-06-05,2021,dwars-door-het-hageland,gc,Bingoal Pauwels Sauces WB,1.Pro,,0,0,,0.0,,,30.0
2021-03-31,2021,dwars-door-vlaanderen,gc,Bingoal Pauwels Sauces WB,1.UWT,,0,0,,0.0,,,20.0
2021-03-26,2021,e3-harelbeke,gc,Bingoal Pauwels Sauces WB,1.UWT,,0,0,,0.0,,,8.0
2021-09-19,2021,eschborn-frankfurt,gc,Bingoal Pauwels Sauces WB,1.UWT,,0,0,,0.0,,,0.0
2021-02-03,2021,etoile-de-besseges,gc,Bingoal - Wallonie Bruxelles,2.1,,0,0,,0.0,,,14.0
2021-02-27,2021,faun-ardeche-classic,gc,Bingoal - Wallonie Bruxelles,1.Pro,,,1,,0.0,,,20.0
2021-03-28,2021,gent-wevelgem,gc,Bingoal Pauwels Sauces WB,1.UWT,,0,0,,0.0,,,13.0
2021-09-19,2021,gooikse-pijl,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,6.0
2021-09-19,2021,gp-d-isbergues,gc,Bingoal Pauwels Sauces WB,1.1,,,1,,0.0,,,0.0
2021-01-31,2021,gp-d-ouverture,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,50.0
2021-09-21,2021,gp-de-denain,gc,Bingoal Pauwels Sauces WB,1.Pro,,0,0,,0.0,,,10.0
2021-09-12,2021,gp-de-fourmies,gc,Bingoal Pauwels Sauces WB,1.Pro,,,1,,0.0,,,40.0
2021-09-15,2021,gp-de-wallonie,gc,Bingoal Pauwels Sauces WB,1.Pro,,0,0,,0.0,,,10.0
2021-06-04,2021,gp-du-canton-d-argovie,gc,Bingoal Pauwels Sauces WB,1.1,,,1,,0.0,,,5.0
2021-09-18,2021,gp-impanis-van-petegem,gc,Bingoal Pauwels Sauces WB,1.Pro,,,1,,0.0,,,5.0
2021-08-15,2021,gp-jef-scherens,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,33.0
2021-03-02,2021,gp-samyn,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,45.0
2021-08-17,2021,gp-stad-zottegem,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,35.0
2021-03-07,2021,grote-prijs-jean-pierre-monsere,gc,Bingoal - Wallonie Bruxelles,1.1,,0,0,,0.0,,,70.0
2021-08-20,2021,grote-prijs-marcel-kint,gc,Bingoal Pauwels Sauces WB,1.1,,,1,,0.0,,,3.0
2021-07-31,2021,heist-op-den-berg,gc,Bingoal Pauwels Sauces WB,1.1,,,1,,0.0,,,10.0
2021-09-17,2021,kampioenschap-van-vlaanderen1,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,45.0
2021-07-31,2021,kreiz-breizh-elites,gc,Bingoal Pauwels Sauces WB,2.2,,0,0,,0.0,,,3.0
2021-02-28,2021,kuurne-brussel-kuurne,gc,Bingoal - Wallonie Bruxelles,1.Pro,,0,0,,0.0,,,10.0
2021-02-28,2021,la-drome-classic,gc,Bingoal - Wallonie Bruxelles,1.Pro,,,1,,0.0,,,5.0
2021-04-21,2021,la-fleche-wallonne,gc,Bingoal Pauwels Sauces WB,1.UWT,,0,0,,0.0,,,8.0
2021-04-04,2021,la-roue-tourangelle,gc,Bingoal Pauwels Sauces WB,1.1,,,1,,0.0,,,25.0
2021-04-25,2021,liege-bastogne-liege,gc,Bingoal Pauwels Sauces WB,1.UWT,,0,0,,0.0,,,10.0
2021-10-05,2021,memorial-frank-vandenbroucke,gc,Bingoal Pauwels Sauces WB,1.1,,0,0,,0.0,,,35.0
2021-06-20,2021,nc-belgium,gc,Bingoal Pauwels Sauces WB,NC,,,1,,0.0,,,40.0
2021-06-20,2021,nc-luxembourg,gc,Bingoal Pauwels Sauces WB,NC,,0,0,,0.0,,,41.0
2021-06-20,2021,nc-netherlands,gc,Bingoal Pauwels Sauces WB,NC,,0,0,,0.0,,,0.0
