date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-05-05,2024,circuito-del-porto-trofeo-arvedi,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,20.0
2024-10-01,2024,coppa-citta-di-san-daniele2,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,25.0
2024-05-25,2024,due-giorni-marchigiana-gp-santa-rita,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,0.0
2024-04-09,2024,giro-d-abruzzo,gc,CTF Victorious,2.1,,0.0,0,,3.0,,,3.0
2024-07-07,2024,giro-del-medio-brenta,gc,CTF Victorious,1.2,,,1,,0.0,,,25.0
2024-09-04,2024,giro-della-regione-friuli-venezia-giulia,gc,CTF Victorious,2.2,,0.0,0,,0.0,,,1.0
2024-03-24,2024,gp-adria-mobil,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,40.0
2024-03-19,2024,gp-brda-collio,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,25.0
2024-03-21,2024,gp-goriska-vipava-valley,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,0.0
2024-03-17,2024,gp-izola-butan-plin,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,45.0
2024-09-01,2024,gp-kranj,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,58.0
2024-03-08,2024,national-championships-bahrain-me-itt,gc,CTF Victorious,NC,,0.0,0,,0.0,,,25.0
2024-03-09,2024,national-championships-bahrain-road-race,gc,CTF Victorious,NC,,0.0,0,,0.0,,,50.0
2024-06-23,2024,nc-slovenia,gc,CTF Victorious,NC,,0.0,0,,0.0,,,0.0
2024-06-23,2024,ncgreat-britain,gc,CTF Victorious,NC,,0.0,0,,0.0,,,0.0
2024-03-17,2024,popolarissima,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,55.0
2024-05-30,2024,ronde-de-l-oise,gc,CTF Victorious,2.2,,0.0,0,,30.0,,,35.0
2024-07-25,2024,tour-alsace,gc,CTF Victorious,2.2,,0.0,0,,0.0,,,0.0
2024-09-27,2024,tour-d-eure-et-loir,gc,CTF Victorious,2.2,,0.0,0,,0.0,,,0.0
2024-05-26,2024,trofeo-citta-di-castelfidardo,gc,CTF Victorious,1.2,,0.0,0,,0.0,,,0.0
