date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2020-09-04,2020,hafjell-gp,gc,Lillehammer CK,1.2,,,1,,0.0,,,0.0
2020-09-05,2020,lillehammer-gp,gc,Lillehammer CK,1.2,,,1,,0.0,,,0.0
2021-05-30,2021,albani-classic-fyen-rundt,gc,Willebrord Wil Vooruit,1.2,,,1,,0.0,,,0.0
2021-09-26,2021,dorpenomloop-rucphen,gc,Willebrord Wil Vooruit,1.2,,0.0,0,,0.0,,,0.0
2021-05-29,2021,gp-herning,gc,Willebrord Wil Vooruit,1.2,,,1,,0.0,,,0.0
2021-07-25,2021,grand-prix-de-la-ville-de-perenchies,gc,Willebrord Wil Vooruit,1.2,,0.0,0,,0.0,,,0.0
2021-10-03,2021,gylne-gutuer,gc,Lillehammer CK,1.2,,0.0,0,,0.0,,,25.0
2021-08-28,2021,himmerland-rundt,gc,Lillehammer CK,1.2,,,1,,0.0,,,5.0
2021-10-02,2021,lillehammer-gp,gc,Lillehammer CK,1.2,,0.0,0,,0.0,,,20.0
2021-08-29,2021,skive-lobet,gc,Lillehammer CK,1.2,,,1,,0.0,,,3.0
