date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-11-11,2022,challenge-du-prince,gc,Global Cycling Team,1.2,,0,0,,0.0,,,5.0
2022-11-10,2022,challenge-du-prince-trophee-de-l-anniversaire,gc,Global Cycling Team,1.2,,0,0,,0.0,,,30.0
2022-11-08,2022,challenge-du-prince-trophee-princier,gc,Global Cycling Team,1.2,,0,0,,0.0,,,3.0
2022-03-06,2022,elfsteden-race,gc,NWV Groningen,1.2,,,1,,0.0,,,0.0
2022-03-27,2022,gp-adria-mobil,gc,Global Cycling Team,1.2,,0,0,,0.0,,,5.0
2022-11-06,2022,gp-al-massira,gc,Global Cycling Team,1.2,,0,0,,0.0,,,65.0
2022-07-16,2022,gp-cycliste-de-gemenc,gc,Global Cycling Team,2.2,,0,0,,0.0,,,0.0
2022-07-09,2022,gp-czech-republic,gc,Global Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,Global Cycling Team,1.2,,0,0,,0.0,,,3.0
2022-11-05,2022,gp-oued-eddahab,gc,Global Cycling Team,1.2,,0,0,,0.0,,,3.0
2022-11-03,2022,gp-sakia-el-hamra,gc,Global Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-10-03,2022,grand-prix-chantal-biya,gc,Global Cycling Team,2.2,,0,0,,3.0,,,6.0
2022-08-13,2022,memorial-henryka-lasaka,gc,Global Cycling Team,1.2,,,1,,0.0,,,0.0
2022-08-14,2022,memorial_jana_magiery_2022,gc,Global Cycling Team,1.2,,,1,,0.0,,,0.0
2022-03-20,2022,rhodes-gp,gc,Global Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-03-13,2022,ronde-van-drenthe,gc,Netherlands,1.1,,,1,,0.0,,,0.0
2022-08-06,2022,scandinavian-race-uppsala,gc,Global Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-03-12,2022,south-aegean-tour,gc,Global Cycling Team,2.2,,0,0,,0.0,,,0.0
2022-05-03,2022,tour-du-benin,gc,Global Cycling Team,2.2,,0,0,,30.0,,,33.0
2022-05-31,2022,tour-of-albania,gc,Global Cycling Team,2.2,,0,0,,5.0,,,15.0
2022-03-24,2022,tour-of-rhodes,gc,Global Cycling Team,2.2,,0,0,,0.0,,,3.0
2022-08-09,2022,tour-of-szeklerland,gc,Global Cycling Team,2.2,,0,0,,0.0,,,0.0
2022-08-17,2022,uec-road-european-championships-itt,gc,Netherlands,CC,,0,0,,0.0,,,5.0
2022-08-14,2022,uec-road-european-championships-me,gc,Netherlands,CC,,0,0,,0.0,,,375.0
2022-07-23,2022,visegrad-4-bicycle-race-gp-hungary,gc,Global Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-07-24,2022,visegrad-4-bicycle-race-gp-slovakia,gc,Global Cycling Team,1.2,,0,0,,0.0,,,0.0
2022-01-16,2022,vuelta-al-tachira,gc,Global Cycling Team,2.2,,0,0,,0.0,,,0.0
2022-12-16,2022,vuelta-internacional-a-costa-rica,gc,Global Cycling Team,2.2,,0,0,,0.0,,,0.0
2022-09-25,2022,world-championship,gc,Netherlands,WC,,0,0,,0.0,,,60.0
2022-09-18,2022,world-championship-itt,gc,Netherlands,WC,,0,0,,0.0,,,0.0
2022-06-08,2022,zlm-tour,gc,Netherlands,2.Pro,,0,0,,8.0,,,8.0
2023-04-15,2023,arno-wallaard-memorial,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-06-07,2023,aziz-shusha,gc,Universe Cycling Team,2.2,,0,0,,25.0,,,32.0
2023-10-15,2023,chrono-des-nations,gc,Netherlands,1.1,,0,0,,0.0,,,3.0
2023-03-26,2023,gp-adria-mobil,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-07-15,2023,gp-cycliste-de-gemenc,gc,Universe Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-07-23,2023,gp-czech-republic,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-03-17,2023,gp-de-la-ville-d-alger,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,25.0
2023-05-28,2023,grand-prix-de-la-famille-royal,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,3.0
2023-05-26,2023,grand-prix-de-prince-heritier-moulay-el-hassan,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,23.0
2023-05-27,2023,grand-prix-du-trone,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,15.0
2023-09-03,2023,gylne-gutuer,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-08-27,2023,international-azerbaijan-tour,gc,Universe Cycling Team,2.1,,0,0,,3.0,,,8.0
2023-09-02,2023,lillehammer-gp,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-belgium,gc,Universe Cycling Team,NC,,0,0,,0.0,,,0.0
2023-06-25,2023,nc-netherlands,gc,Universe Cycling Team,NC,,0,0,,0.0,,,0.0
2023-05-29,2023,paris-troyes,gc,Netherlands,1.2,,0,0,,0.0,,,-2.0
2023-05-29,2023,paris-troyes,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-03-19,2023,popolarissima,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-03-12,2023,ronde-van-drenthe,gc,Netherlands,1.1,,,1,,0.0,,,0.0
2023-10-22,2023,sun-hung-kai-properties-hong-kong-challenge,gc,Universe Cycling Team,1.1,,0,0,,0.0,,,6.0
2023-03-07,2023,tour-d-algerie-cycliste,gc,Universe Cycling Team,2.2,,0,0,,5.0,,,15.0
2023-06-14,2023,tour-de-beauce,gc,Universe Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-05-04,2023,tour-de-catamarca-internacional,gc,Universe Cycling Team,2.2,,0,0,,3.0,,,6.0
2023-06-03,2023,tour-de-kumano,gc,Universe Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-05-26,2023,tour-de-la-mirabelle,gc,Netherlands,2.2,,0,0,,0.0,,,7.0
2023-02-01,2023,tour-du-sahel,gc,Universe Cycling Team,2.2,,0,0,,35.0,,,45.0
2023-09-28,2023,tour-of-istanbul,gc,Universe Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-08-26,2023,tour-of-kandovan,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-09-10,2023,tour-of-salalah,gc,Universe Cycling Team,2.2,,0,0,,38.0,,,42.0
2023-04-26,2023,tour-of-the-gila,gc,Universe Cycling Team,2.2,,0,0,,5.0,,,6.0
2023-10-08,2023,tour-of-turkey,gc,Netherlands,2.1,,0,0,,0.0,,,0.0
2023-09-20,2023,uec-road-european-championships-itt,gc,Netherlands,CC,,0,0,,0.0,,,18.0
2023-09-24,2023,uec-road-european-championships-me,gc,Netherlands,CC,,0,0,,0.0,,,260.0
2023-05-20,2023,veenendaal-veenendaal,gc,Universe Cycling Team,1.1,,0,0,,0.0,,,0.0
2023-07-22,2023,visegrad-4-bicycle-race-gp-polski-via-odra,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2023-08-09,2023,volta-a-portugal,gc,Universe Cycling Team,2.1,,0,0,,0.0,,,0.0
2023-04-01,2023,volta-nxt-classic,gc,Universe Cycling Team,1.1,,0,0,,0.0,,,0.0
2023-05-11,2023,vuelta-a-formosa-internacional,gc,Universe Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-12-16,2023,vuelta-internacional-a-costa-rica,gc,Universe Cycling Team,2.2,28.0,0.0,1,,3.0,,,3.0
2023-08-06,2023,world-championship,gc,Netherlands,WC,,0,0,,0.0,,,1020.0
2023-08-11,2023,world-championship-itt,gc,Netherlands,WC,,0,0,,0.0,,,0.0
2024-04-13,2024,arno-wallaard-memorial,gc,Universe Cycling Team,1.2,,,1,,0.0,,,0.0
2024-04-18,2024,banja-luka-belgrade-i,gc,Universe Cycling Team,2.2,101.0,0.0,1,,3.0,,,3.0
2024-07-22,2024,banyuwangi-tour-de-ijen,gc,Universe Cycling Team,2.2,,0,0,,20.0,,,20.0
2024-07-15,2024,clasica-terres-de-l-ebre,gc,Universe Cycling Team,1.2,,,1,,0.0,,,0.0
2024-02-06,2024,colombia-21,gc,Universe Cycling Team,2.1,,0,0,,0.0,,,0.0
2024-06-16,2024,courts-mammouth-classique-de-l-ile-maurice,gc,Global Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-03-24,2024,gp-adria-mobil,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-05-24,2024,gp-de-la-ville-d-alger,gc,Universe Cycling Team,1.2,,,1,,0.0,,,15.0
2024-03-03,2024,gp-de-la-ville-de-lillers,gc,Universe Cycling Team,1.2,,,1,,0.0,,,0.0
2024-05-01,2024,gp-vorarlberg,gc,Universe Cycling Team,1.2,,,1,,0.0,,,0.0
2024-05-11,2024,grand-prix-d-oran,gc,Universe Cycling Team,1.2,,,1,,0.0,,,5.0
2024-05-22,2024,grand-prix-de-la-ville-d-annaba,gc,Universe Cycling Team,1.2,,,1,,0.0,,,30.0
2024-01-20,2024,gravel-and-tar,gc,Global Cycling Team,1.2,,,1,,0.0,,,0.0
2024-05-04,2024,hadeland-gp,gc,Universe Cycling Team,1.2,,,1,,0.0,,,15.0
2024-04-28,2024,kirschblutenrennen,gc,Universe Cycling Team,1.2,,,1,,0.0,,,0.0
2024-03-02,2024,le-tour-des-100-communes,gc,Universe Cycling Team,1.2,,,1,,0.0,,,0.0
2024-06-23,2024,nc-netherlands,gc,Universe Cycling Team,NC,,0,0,,0.0,,,0.0
2024-06-19,2024,nc-netherlands-itt,gc,Universe Cycling Team,NC,,0,0,,0.0,,,0.0
2024-01-10,2024,new-zealand-cycle-classic,gc,Global Cycling Team,2.2,47.0,0.0,1,,0.0,,,0.0
2024-03-17,2024,popolarissima,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-05-05,2024,ringerike-gp,gc,Universe Cycling Team,1.2,,,1,,0.0,,,0.0
2024-05-04,2024,ronde-van-overijssel,gc,Universe Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-07-06,2024,sibiu-cycling-tour,gc,Universe Cycling Team,2.1,,0,0,,0.0,,,0.0
2024-06-11,2024,skoda-tour-de-maurice,gc,Global Cycling Team,2.2,,0,0,,0.0,,,0.0
2024-05-12,2024,tour-d-algerie-cycliste,gc,Universe Cycling Team,2.2,44.0,0.0,1,,30.0,,,30.0
