date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-08-28,2021,brussels-cycling-classic,gc,Trinity Racing,1.Pro,,,1,,0.0,,,6.0
2021-05-13,2021,circuit-de-wallonie,gc,Trinity Racing,1.1,,,1,,0.0,,,5.0
2021-08-26,2021,druivenkoers-overijse,gc,Trinity Racing,1.1,,,1,,0.0,,,0.0
2021-06-03,2021,giro-ciclistico-d-italia,gc,Trinity Racing,2.2,,0,0,,20.0,,,32.0
2021-09-19,2021,gooikse-pijl,gc,Trinity Racing,1.1,,,1,,0.0,,,3.0
2021-08-15,2021,gp-jef-scherens,gc,Trinity Racing,1.1,,,1,,0.0,,,3.0
2021-08-17,2021,gp-stad-zottegem,gc,Trinity Racing,1.1,,,1,,0.0,,,0.0
2021-08-20,2021,grote-prijs-marcel-kint,gc,Trinity Racing,1.1,,,1,,0.0,,,0.0
2021-10-03,2021,nc-ireland,gc,Trinity Racing,NC,,0,0,,0.0,,,21.0
2021-09-30,2021,nc-ireland-itt,gc,Trinity Racing,NC,,0,0,,0.0,,,15.0
2021-06-20,2021,nc-united-states,gc,Trinity Racing,NC,,0,0,,0.0,,,0.0
2021-10-17,2021,ncgreat-britain,gc,Trinity Racing,NC,,0,0,,0.0,,,3.0
2021-08-29,2021,ronde-van-de-achterhoek,gc,Trinity Racing,1.2,,,1,,0.0,,,0.0
2021-07-22,2021,tour-alsace,gc,Trinity Racing,2.2,,0,0,,3.0,,,4.0
2021-05-14,2021,tour-d-eure-et-loir,gc,Trinity Racing,2.2,,0,0,,5.0,,,13.0
2021-05-27,2021,tour-de-la-mirabelle,gc,Trinity Racing,2.2,8.0,3.0,1,,3.0,,,3.0
2021-09-05,2021,tour-of-britain,gc,Trinity Racing,2.Pro,45.0,0.0,1,,0.0,,,0.0
2022-08-11,2022,arctic-race-of-norway,gc,Trinity Racing,2.Pro,,0,0,,10.0,,,10.0
2022-04-06,2022,circuit-des-ardennes,gc,Trinity Racing,2.2,70.0,0.0,1,,0.0,,,1.0
2022-03-13,2022,dorpenomloop-rucphen,gc,Trinity Racing,1.2,,0,0,,0.0,,,3.0
2022-04-24,2022,east-midlands-international-cicle-classic,gc,Trinity Racing,1.2,,,1,,0.0,,,15.0
2022-05-08,2022,fleche-ardennaise,gc,Trinity Racing,1.2,,0,0,,0.0,,,25.0
2022-03-06,2022,grote-prijs-jean-pierre-monsere,gc,Trinity Racing,1.1,,,1,,0.0,,,0.0
2022-04-25,2022,le-tour-de-bretagne,gc,Trinity Racing,2.2,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-austria2,gc,Trinity Racing,NC,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-ireland,gc,Trinity Racing,NC,,0,0,,0.0,,,5.0
2022-06-26,2022,nc-united-states,gc,Trinity Racing,NC,,0,0,,0.0,,,40.0
2022-06-26,2022,ncgreat-britain,gc,Trinity Racing,NC,,,1,,0.0,,,1.0
2022-05-25,2022,rhone-alpes-isere-tour,gc,Trinity Racing,2.2,,0,0,,20.0,,,21.0
2022-07-28,2022,tour-alsace,gc,Trinity Racing,2.2,,0,0,,0.0,,,2.0
2022-03-21,2022,tour-de-normadie,gc,Trinity Racing,2.2,,0,0,,0.0,,,0.0
2022-10-02,2022,tour-de-taiwan,gc,Trinity Racing,2.1,,0,0,,145.0,,,170.0
2022-09-04,2022,tour-of-britain,gc,Trinity Racing,2.Pro,,0,0,,11.0,,,11.0
2022-08-04,2022,volta-a-portugal,gc,Trinity Racing,2.1,,,1,,0.0,,,8.0
2023-08-17,2023,arctic-race-of-norway,gc,Trinity Racing,2.Pro,,0,0,,30.0,,,30.0
2023-04-06,2023,circuit-des-ardennes,gc,Trinity Racing,2.2,,0,0,,0.0,,,7.0
2023-07-27,2023,czech-tour,gc,Trinity Racing,2.1,,0,0,,25.0,,,28.0
2023-04-23,2023,east-midlands-international-cicle-classic,gc,Trinity Racing,1.2,,0,0,,0.0,,,40.0
2023-05-07,2023,fleche-ardennaise,gc,Trinity Racing,1.2,,0,0,,0.0,,,0.0
