date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-27,2017,asian-cc-u23-itt,gc,Hengxiang Cycling Team,CC,,0,0,,0.0,,,20.0
2017-03-02,2017,asian-championships-me,gc,China,CC,,,1,,0.0,,,135.0
2017-02-27,2017,asian-cycling-championships-itt,gc,China,CC,,0,0,,0.0,,,30.0
2017-09-10,2017,tour-of-china,gc,Hengxiang Cycling Team,2.1,54.0,0.0,1,,53.0,,,53.0
2017-09-19,2017,tour-of-china-ii,gc,Hengxiang Cycling Team,2.1,35.0,0.0,1,,28.0,,,28.0
2017-10-28,2017,tour-of-hainan,gc,Hengxiang Cycling Team,2.HC,27.0,5.0,1,,138.0,,,143.0
2017-10-10,2017,tour-of-taihu-lake,gc,Hengxiang Cycling Team,2.1,71.0,0.0,1,,0.0,,,0.0
2017-04-01,2017,tour-of-thailand,gc,Hengxiang Cycling Team,2.1,82.0,0.0,1,,145.0,,,151.0
2018-04-22,2018,east-midlands-international-cicle-classic,gc,Hengxiang Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-05-02,2018,five-rings-of-moscow,gc,Hengxiang Cycling Team,2.2,,0,0,,0.0,,,0.0
2018-08-19,2018,grand-prix-minsk,gc,Hengxiang Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-08-18,2018,minsk-cup,gc,Hengxiang Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-07-01,2018,nc-latvia,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,0.0
2018-06-28,2018,nc-latvia-itt,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,3.0
2018-05-12,2018,scandinavian-race-uppsala,gc,Hengxiang Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-03-18,2018,tour-de-langkawi,gc,Hengxiang Cycling Team,2.HC,,,1,,0.0,,,0.0
2018-09-08,2018,tour-of-china,gc,Hengxiang Cycling Team,2.1,66.0,0.0,1,,43.0,,,51.0
2018-09-17,2018,tour-of-china-ii,gc,Hengxiang Cycling Team,2.1,58.0,0.0,1,,0.0,,,0.0
2018-11-14,2018,tour-of-fuzhou,gc,Hengxiang Cycling Team,2.1,111.0,0.0,1,,70.0,,,89.0
2018-10-23,2018,tour-of-hainan,gc,Hengxiang Cycling Team,2.HC,89.0,0.0,1,,95.0,,,95.0
2018-10-07,2018,tour-of-taihu-lake,gc,Hengxiang Cycling Team,2.1,57.0,0.0,1,,0.0,,,0.0
2018-04-01,2018,tour-of-thailand,gc,Hengxiang Cycling Team,2.1,63.0,0.0,1,,50.0,,,50.0
2018-09-03,2018,tour-of-xingtai,gc,Hengxiang Cycling Team,2.2,57.0,0.0,1,,0.0,,,0.0
2019-05-12,2019,grand-prix-minsk,gc,Hengxiang Cycling Team,1.2,,0,0,,0.0,,,0.0
2019-05-11,2019,minsk-cup,gc,Hengxiang Cycling Team,1.2,,0,0,,0.0,,,0.0
2019-08-24,2019,nc-china,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,20.0
2019-06-30,2019,nc-latvia,gc,Hengxiang Cycling Team,NC,,0,0,,0.0,,,3.0
2019-04-17,2019,tour-de-iskandar-johor,gc,Hengxiang Cycling Team,2.2,,0,0,,20.0,,,30.0
2019-09-07,2019,tour-of-china,gc,Hengxiang Cycling Team,2.1,,0,0,,3.0,,,3.0
2019-09-16,2019,tour-of-china-ii,gc,Hengxiang Cycling Team,2.1,,0,0,,128.0,,,133.0
2019-11-17,2019,tour-of-fuzhou,gc,Hengxiang Cycling Team,2.1,,0,0,,60.0,,,63.0
2019-06-14,2019,tour-of-malopolska,gc,Hengxiang Cycling Team,2.2,,0,0,,0.0,,,0.0
2019-11-08,2019,tour-of-quanzhou-bay,gc,Hengxiang Cycling Team,2.2,,0,0,,0.0,,,7.0
2019-10-09,2019,tour-of-taihu-lake,gc,Hengxiang Cycling Team,2.1,,0,0,,0.0,,,0.0
2019-05-26,2019,tour-of-taiyuan,gc,Hengxiang Cycling Team,2.2,55.0,0.0,1,,0.0,,,3.0
2019-04-01,2019,tour-of-thailand,gc,Hengxiang Cycling Team,2.1,,0,0,,0.0,,,5.0
2019-09-02,2019,tour-of-xingtai,gc,Hengxiang Cycling Team,2.2,86.0,0.0,1,,0.0,,,0.0
