date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-18,2017,le-tour-de-filipinas,gc,Keyi Look Cycling Team,2.2,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-kazakhstan,gc,Keyi Look Cycling Team,NC,,0,0,,0.0,,,10.0
2017-06-21,2017,nc-kazakhstan-itt,gc,Keyi Look Cycling Team,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-spain,gc,Keyi Look Cycling Team,NC,,0,0,,0.0,,,0.0
2017-02-22,2017,tour-de-langkawi,gc,Keyi Look Cycling Team,2.HC,70.0,0.0,1,,0.0,,,0.0
2017-04-13,2017,tour-de-lombok,gc,Keyi Look Cycling Team,2.2,,0,0,,0.0,,,0.0
2017-09-10,2017,tour-of-china,gc,Keyi Look Cycling Team,2.1,104.0,0.0,1,,5.0,,,5.0
2017-09-19,2017,tour-of-china-ii,gc,Keyi Look Cycling Team,2.1,53.0,0.0,1,,5.0,,,5.0
2017-10-28,2017,tour-of-hainan,gc,Keyi Look Cycling Team,2.HC,,,1,,0.0,,,0.0
2017-10-10,2017,tour-of-taihu-lake,gc,Keyi Look Cycling Team,2.1,,,1,,3.0,,,3.0
2017-08-25,2017,tour-of-xingtai,gc,Keyi Look Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-10-14,2023,trans-himalaya-cycling-race,gc,Tibet Himalayan Cycling Team,2.2,25.0,0.0,1,,0.0,,,0.0
2024-06-20,2024,nc-china,gc,Hainan Wuzhishan Cycling Team,NC,,0,0,,0.0,,,101.0
2024-06-18,2024,nc-china-itt,gc,Hainan Wuzhishan Cycling Team,NC,,0,0,,0.0,,,23.0
2024-08-27,2024,tour-of-hainan,gc,Hainan Wuzhishan Cycling Team,2.Pro,,0,0,,3.0,,,3.0
2024-08-23,2024,trans-himalaya-cycling-race,gc,Hainan Wuzhishan Cycling Team,2.2,,,1,,3.0,,,3.0
