date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-08-18,2022,baltic-chain-tour,gc,Wheelsports - Metropol Racing,2.2,55.0,0.0,1,,0.0,,,0.0
2022-08-06,2022,scandinavian-race-uppsala,gc,Wheelsports - Metropol Racing,1.2,,0,0,,0.0,,,0.0
2023-04-15,2023,arno-wallaard-memorial,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-06-07,2023,aziz-shusha,gc,Storck - Metropol Cycling,2.2,29.0,0.0,1,,0.0,,,0.0
2023-06-28,2023,course-cycliste-de-solidarnosc,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,0.0
2023-07-26,2023,dookola-mazowsza,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,0.0
2023-09-30,2023,gp-cerami,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-08-20,2023,gp-stad-zottegem,gc,Storck - Metropol Cycling,1.1,,0,0,,0.0,,,0.0
2023-01-21,2023,gravel-and-tar,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-05-27,2023,grote-prijs-marcel-kint,gc,Storck - Metropol Cycling,1.1,,0,0,,0.0,,,0.0
2023-07-28,2023,kreiz-breizh-elites,gc,Storck - Metropol Cycling,2.2,,,1,,0.0,,,0.0
2023-07-25,2023,memorial-andrzeja-trochanowskiego,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-08-12,2023,memorial-henryka-lasaka,gc,Storck - Metropol Cycling,1.2,,,1,,0.0,,,0.0
2023-08-13,2023,memorial_jana_magiery_2022,gc,Storck - Metropol Cycling,1.2,,,1,,0.0,,,0.0
2023-06-25,2023,nc-germany,gc,Storck - Metropol Cycling,NC,,,1,,0.0,,,0.0
2023-06-23,2023,nc-germany-itt,gc,Storck - Metropol Cycling,NC,,0,0,,0.0,,,0.0
2023-01-11,2023,new-zealand-cycle-classic,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,0.0
2023-05-29,2023,paris-troyes,gc,Storck - Metropol Cycling,1.2,,,1,,0.0,,,0.0
2023-03-11,2023,rhodes-gp,gc,Storck - Metropol Cycling,1.2,,,1,,0.0,,,0.0
2023-05-06,2023,ronde-van-overijssel,gc,Storck - Metropol Cycling,1.2,,0,0,,0.0,,,0.0
2023-05-21,2023,rund-um-koln,gc,Storck - Metropol Cycling,1.1,,,1,,0.0,,,0.0
2023-03-04,2023,south-aegean-tour,gc,Storck - Metropol Cycling,2.2,,,1,,0.0,,,0.0
2023-06-14,2023,tour-de-beauce,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,-5.0
2023-03-17,2023,tour-of-rhodes,gc,Storck - Metropol Cycling,2.2,,0,0,,0.0,,,0.0
2023-09-10,2023,tour-of-salalah,gc,Storck - Metropol Cycling,2.2,,0,0,,8.0,,,12.0
2024-04-18,2024,banja-luka-belgrade-i,gc,MaxSolar Cycling Team,2.2,64.0,0.0,1,,0.0,,,0.0
2024-10-01,2024,coppa-citta-di-san-daniele2,gc,MaxSolar Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-05-25,2024,due-giorni-marchigiana-gp-santa-rita,gc,MaxSolar Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-09-01,2024,gp-kranj,gc,MaxSolar Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-05-01,2024,gp-vorarlberg,gc,MaxSolar Cycling Team,1.2,,0,0,,0.0,,,0.0
2024-04-28,2024,kirschblutenrennen,gc,MaxSolar Cycling Team,1.2,,,1,,0.0,,,0.0
2024-06-21,2024,nc-austria-itt,gc,MaxSolar Cycling Team,NC,,0,0,,0.0,,,0.0
2024-06-23,2024,nc-austria2,gc,MaxSolar Cycling Team,NC,,0,0,,0.0,,,0.0
2024-06-23,2024,nc-germany,gc,MaxSolar Cycling Team,NC,,,1,,0.0,,,0.0
2024-06-21,2024,nc-germany-itt,gc,MaxSolar Cycling Team,NC,,0,0,,0.0,,,0.0
2024-06-13,2024,oberosterreichrundfahrt,gc,MaxSolar Cycling Team,2.2,106.0,0.0,1,,3.0,,,-22.0
2024-09-05,2024,okolo-jiznich-cech,gc,MaxSolar Cycling Team,2.2,,0,0,,0.0,,,0.0
2024-03-17,2024,popolarissima,gc,MaxSolar Cycling Team,1.2,,,1,,0.0,,,0.0
2024-07-02,2024,trofeo-citta-di-brescia,gc,MaxSolar Cycling Team,1.2,,,1,,0.0,,,0.0
2024-05-26,2024,trofeo-citta-di-castelfidardo,gc,MaxSolar Cycling Team,1.2,,0,0,,0.0,,,0.0
