date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2020-09-04,2020,baltyk-karkonosze-tour,gc,P&S Metalltechnik,2.2,59.0,0.0,1,,0.0,,,0.0
2020-09-09,2020,course-cycliste-de-solidarnosc,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,7.0
2020-08-23,2020,nc-germany,gc,P&S Metalltechnik,NC,,,1,,0.0,,,0.0
2020-03-08,2020,porec-trophy,gc,P&S Metalltechnik,1.2,,0,0,,0.0,,,3.0
2020-08-12,2020,tour-bitwa-warszawska-1920,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,0.0
2020-03-04,2020,trofej-umag,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,3.0
2021-08-05,2021,czech-tour,gc,P&S Metalltechnik,2.1,,0,0,,3.0,,,6.0
2021-08-26,2021,deutschland-tour,gc,P&S Metalltechnik,2.Pro,,0,0,,15.0,,,15.0
2021-07-14,2021,dookola-mazowsza,gc,P&S Metalltechnik,2.2,92.0,0.0,1,,35.0,,,38.0
2021-06-28,2021,in-the-footsteps-of-the-romans,gc,P&S Metalltechnik,2.2,,0,0,,85.0,,,93.0
2021-03-11,2021,istrian-spring-tour,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-germany,gc,P&S Metalltechnik,NC,,,1,,0.0,,,0.0
2021-06-19,2021,nc-germany-itt,gc,P&S Metalltechnik,NC,,0,0,,0.0,,,0.0
2021-03-07,2021,porec-trophy,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,0.0
2021-07-18,2021,puchar-ministra-obrony-narodowej,gc,P&S Metalltechnik,1.2,,,1,,0.0,,,5.0
2021-08-20,2021,szlakiem-grodow-piastowskich,gc,P&S Metalltechnik,2.2,,0,0,,0.0,,,1.0
2021-06-30,2021,tour-of-bulgaria,gc,P&S Metalltechnik,2.2,,0,0,,40.0,,,57.0
2021-09-28,2021,tour-of-croatia,gc,P&S Metalltechnik,2.1,,,1,,3.0,,,3.0
2021-03-03,2021,trofej-umag,gc,P&S Metalltechnik,1.2,,0,0,,0.0,,,5.0
2022-07-27,2022,dookola-mazowsza,gc,P&S Benotti,2.2,,0,0,,0.0,,,0.0
2022-05-25,2022,fleche-du-sud,gc,P&S Benotti,2.2,92.0,0.0,1,,3.0,,,3.0
2022-06-10,2022,gp-du-canton-d-argovie,gc,P&S Benotti,1.1,,,1,,0.0,,,0.0
2022-04-29,2022,grand-prix-nasielsk-serock,gc,P&S Benotti,1.2,,0,0,,0.0,,,30.0
2022-04-30,2022,grand-prix-wyszkow,gc,P&S Benotti,1.2,,0,0,,0.0,,,23.0
2022-09-03,2022,in-the-footsteps-of-the-romans,gc,P&S Benotti,2.2,,,1,,3.0,,,3.0
2022-03-10,2022,istrian-spring-tour,gc,P&S Benotti,2.2,117.0,0.0,1,,0.0,,,0.0
2022-07-26,2022,memorial-andrzeja-trochanowskiego,gc,P&S Benotti,1.2,,0,0,,0.0,,,40.0
2022-08-13,2022,memorial-henryka-lasaka,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2022-08-14,2022,memorial_jana_magiery_2022,gc,P&S Benotti,1.2,,,1,,0.0,,,15.0
2022-06-26,2022,nc-germany,gc,P&S Benotti,NC,,0,0,,0.0,,,1.0
2022-06-24,2022,nc-germany-itt,gc,P&S Benotti,NC,,0,0,,0.0,,,0.0
2022-03-06,2022,porec-trophy,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2022-07-31,2022,puchar-ministra-obrony-narodowej,gc,P&S Benotti,1.2,,0,0,,0.0,,,10.0
2022-05-22,2022,rund-um-koln,gc,P&S Benotti,1.1,,,1,,0.0,,,5.0
2022-07-02,2022,sibiu-cycling-tour,gc,P&S Benotti,2.1,,0,0,,10.0,,,10.0
2022-08-27,2022,tour-of-bulgaria,gc,P&S Benotti,2.2,,,1,,3.0,,,10.0
2022-03-02,2022,trofej-umag,gc,P&S Benotti,1.2,,,1,,0.0,,,5.0
2023-04-06,2023,circuit-des-ardennes,gc,P&S Benotti,2.2,,0,0,,0.0,,,0.0
2023-08-23,2023,deutschland-tour,gc,P&S Benotti,2.Pro,87.0,0.0,1,,0.0,,,0.0
2023-07-26,2023,dookola-mazowsza,gc,P&S Benotti,2.2,53.0,0.0,1,,0.0,,,0.0
2023-05-17,2023,fleche-du-sud,gc,P&S Benotti,2.2,,,1,,0.0,,,0.0
2023-06-09,2023,gp-du-canton-d-argovie,gc,P&S Benotti,1.1,,0,0,,0.0,,,0.0
2023-04-30,2023,gp-vorarlberg,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2023-03-09,2023,istrian-spring-tour,gc,P&S Benotti,2.2,78.0,0.0,1,,0.0,,,0.0
2023-07-25,2023,memorial-andrzeja-trochanowskiego,gc,P&S Benotti,1.2,,,1,,0.0,,,3.0
2023-08-12,2023,memorial-henryka-lasaka,gc,P&S Benotti,1.2,,0,0,,0.0,,,0.0
2023-08-13,2023,memorial_jana_magiery_2022,gc,P&S Benotti,1.2,,0,0,,0.0,,,3.0
2023-10-03,2023,munsterland-giro,gc,P&S Benotti,1.Pro,,,1,,0.0,,,0.0
2023-06-25,2023,nc-germany,gc,P&S Benotti,NC,,,1,,0.0,,,0.0
2023-06-23,2023,nc-germany-itt,gc,P&S Benotti,NC,,0,0,,0.0,,,0.0
2023-06-01,2023,oberosterreichrundfahrt,gc,P&S Benotti,2.2,,0,0,,3.0,,,3.0
2023-05-29,2023,paris-troyes,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2023-03-05,2023,porec-trophy,gc,P&S Benotti,1.2,,0,0,,0.0,,,0.0
2023-07-30,2023,puchar-ministra-obrony-narodowej,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
2023-05-21,2023,rund-um-koln,gc,P&S Benotti,1.1,,0,0,,0.0,,,0.0
2023-05-26,2023,tour-de-la-mirabelle,gc,P&S Benotti,2.2,,0,0,,0.0,,,0.0
2023-04-12,2023,tour-du-loir-et-cher,gc,P&S Benotti,2.2,,,1,,0.0,,,0.0
2023-07-02,2023,tour-of-austria,gc,P&S Benotti,2.1,116.0,0.0,1,,3.0,,,3.0
2023-10-08,2023,tour-of-turkey,gc,P&S Benotti,2.1,,,1,,3.0,,,3.0
2023-03-01,2023,trofej-umag,gc,P&S Benotti,1.2,,,1,,0.0,,,0.0
