date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-06-18,2017,beaumont-trophy,gc,One Pro Cycling,1.2,,,1,,0.0,,,65.0
2017-08-23,2017,druivenkoers-overijse,gc,One Pro Cycling,1.1,,0,0,,0.0,,,15.0
2017-01-31,2017,dubai-tour,gc,One Pro Cycling,2.HC,27.0,5.0,1,,89.0,,,89.0
2017-04-23,2017,east-midlands-international-cicle-classic,gc,One Pro Cycling,1.2,,,1,,0.0,,,33.0
2017-08-22,2017,grand-prix-des-marbriers,gc,One Pro Cycling,1.2,,0,0,,0.0,,,40.0
2017-07-29,2017,kreiz-breizh-elites,gc,One Pro Cycling,2.2,70.0,0.0,1,,15.0,,,22.0
2017-01-08,2017,nc-australia,gc,One Pro Cycling,NC,,0,0,,0.0,,,0.0
2017-06-22,2017,nc-great-britain-itt,gc,One Pro Cycling,NC,,,1,,0.0,,,5.0
2017-01-08,2017,nc-new-zealand,gc,One Pro Cycling,NC,,0,0,,0.0,,,0.0
2017-01-06,2017,nc-new-zealand-itt,gc,One Pro Cycling,NC,,0,0,,0.0,,,15.0
2017-06-25,2017,nc-poland,gc,One Pro Cycling,NC,,0,0,,0.0,,,20.0
2017-06-21,2017,nc-poland-itt,gc,One Pro Cycling,NC,,0,0,,0.0,,,25.0
2017-06-25,2017,ncgreat-britain,gc,One Pro Cycling,NC,,,1,,0.0,,,0.0
2017-01-22,2017,new-zealand-cycle-classic,gc,One Pro Cycling,2.2,,0,0,,16.0,,,19.0
2017-08-27,2017,ronde-van-midden-nederland,gc,One Pro Cycling,2.2,86.0,0.0,1,,130.0,,,130.0
2017-05-05,2017,szlakiem-grodow-piastowskich,gc,One Pro Cycling,2.2,22.0,0.0,1,,3.0,,,3.0
2017-06-01,2017,szlakiem-walk-majora-hubala,gc,One Pro Cycling,2.1,56.0,0.0,1,,124.0,,,146.0
2017-04-28,2017,tour-de-yorkshire,gc,One Pro Cycling,2.1,,,1,,3.0,,,3.0
2017-09-03,2017,tour-of-britain,gc,One Pro Cycling,2.HC,74.0,0.0,1,,10.0,,,10.0
2017-07-09,2017,velothon-wales,gc,One Pro Cycling,1.1,,,1,,0.0,,,153.0
2018-04-28,2018,carpathia-couriers-paths,gc,One Pro Cycling,2.2U,,0,0,,1.0,,,1.0
2018-04-06,2018,circuit-des-ardennes,gc,One Pro Cycling,2.2,33.0,0.0,1,,15.0,,,18.0
2018-04-10,2018,commonwealth-games-itt2,gc,One Pro Cycling,JR,,0,0,,0.0,,,0.0
2018-04-22,2018,east-midlands-international-cicle-classic,gc,One Pro Cycling,1.2,,,1,,0.0,,,43.0
2018-02-25,2018,gp-izola-butan-plin,gc,One Pro Cycling,1.2,,,1,,0.0,,,20.0
2018-08-19,2018,grand-prix-minsk,gc,One Pro Cycling,1.2,,0,0,,0.0,,,15.0
