date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-10-13,2024,african-championships,gc,Eritrea,CC,,0,0,,0.0,,,495.0
2024-10-09,2024,african-continental-championships-itt,gc,Eritrea,CC,,0,0,,0.0,,,15.0
2024-03-15,2024,african-games-me-itt,gc,Eritrea,JC,,0,0,,0.0,,,30.0
2024-03-10,2024,african-games-road-race-me,gc,Eritrea,JC,,0,0,,0.0,,,335.0
2024-07-22,2024,banyuwangi-tour-de-ijen,gc,7Eleven Cliqq Roadbike Philippines,2.2,26.0,0.0,1,,0.0,,,0.0
2024-03-30,2024,bueng-si-fai-international-road-race,gc,7Eleven Cliqq Roadbike Philippines,1.2,,0,0,,0.0,,,0.0
2024-05-24,2024,gp-de-la-ville-d-alger,gc,Eritrea,1.2,,,1,,0.0,,,3.0
2024-05-11,2024,grand-prix-d-oran,gc,Eritrea,1.2,,,1,,0.0,,,20.0
2024-05-22,2024,grand-prix-de-la-ville-d-annaba,gc,Eritrea,1.2,,,1,,0.0,,,40.0
2024-06-15,2024,nc-eritrea,gc,7Eleven Cliqq Roadbike Philippines,NC,,,1,,0.0,,,0.0
2024-02-09,2024,nc-philippines,gc,7Eleven Cliqq Roadbike Philippines,NC,,0,0,,0.0,,,4.0
2024-02-06,2024,nc-philippines-itt,gc,7Eleven Cliqq Roadbike Philippines,NC,,0,0,,0.0,,,15.0
2024-08-03,2024,olympic-games,gc,Eritrea,Olympics,,0,0,,0.0,,,15.0
2024-07-27,2024,olympic-games-itt,gc,Eritrea,Olympics,,0,0,,0.0,,,0.0
2024-05-12,2024,tour-d-algerie-cycliste,gc,Eritrea,2.2,50.0,0.0,1,,5.0,,,18.0
2024-05-31,2024,tour-du-maroc,gc,7Eleven Cliqq Roadbike Philippines,2.2,48.0,0.0,1,,0.0,,,3.0
2024-09-26,2024,tour-of-huangshan,gc,7Eleven Cliqq Roadbike Philippines,2.2,43.0,0.0,1,,0.0,,,0.0
2024-02-19,2024,tour-of-rwanda,gc,Eritrea,2.1,,0,0,,13.0,,,13.0
2024-04-01,2024,tour-of-thailand,gc,7Eleven Cliqq Roadbike Philippines,2.1,,0,0,,3.0,,,3.0
2024-08-23,2024,trans-himalaya-cycling-race,gc,7Eleven Cliqq Roadbike Philippines,2.2,110.0,0.0,1,,0.0,,,0.0
2024-09-29,2024,world-championship,gc,Eritrea,WC,,0,0,,0.0,,,10.0
2025-02-01,2025,gp-antalya,gc,Istanbul Büyükșehir Belediye Spor Türkiye,1.2,,,1,,0.0,,,18.0
2025-03-23,2025,grand-prix-apollon-temple-me,gc,Istanbul Büyükșehir Belediye Spor Türkiye,1.2,,0,0,,0.0,,,0.0
2025-02-08,2025,grand-prix-aspendos,gc,Istanbul Büyükșehir Belediye Spor Türkiye,1.2,,,1,,0.0,,,5.0
2025-08-24,2025,grand-prix-ordu,gc,Istanbul Büyükșehir Belediye Spor Türkiye,1.2,,,1,,0.0,,,10.0
2025-05-27,2025,international-azerbaijan-tour,gc,Istanbul Büyükșehir Belediye Spor Türkiye,2.1,7.0,35.0,1,,46.0,,,49.0
2025-06-29,2025,nc-eritrea,gc,Istanbul Büyükșehir Belediye Spor Türkiye,NC,,,1,,0.0,,,0.0
2025-06-29,2025,nc-spain,gc,Istanbul Büyükșehir Belediye Spor Türkiye,NC,,0,0,,0.0,,,0.0
2025-06-28,2025,nc-turkey,gc,Istanbul Büyükșehir Belediye Spor Türkiye,NC,,0,0,,0.0,,,10.0
2025-06-26,2025,nc-turkey-itt,gc,Istanbul Büyükșehir Belediye Spor Türkiye,NC,,0,0,,0.0,,,15.0
2025-04-06,2025,syedra-ancient-city,gc,Istanbul Büyükșehir Belediye Spor Türkiye,1.2,,,1,,0.0,,,5.0
2025-07-06,2025,tour-of-magnificent-qinghai,gc,Istanbul Büyükșehir Belediye Spor Türkiye,2.Pro,39.0,3.0,1,,6.0,,,6.0
2025-04-10,2025,tour-of-mersin,gc,Istanbul Büyükșehir Belediye Spor Türkiye,2.2,54.0,0.0,1,,3.0,,,3.0
2025-08-27,2025,tour-of-samsun,gc,Istanbul Büyükșehir Belediye Spor Türkiye,2.2,4.0,20.0,1,,20.0,,,21.0
2025-01-24,2025,tour-of-sharjah,gc,Istanbul Büyükșehir Belediye Spor Türkiye,2.2,30.0,0.0,1,,0.0,,,0.0
2025-04-27,2025,tour-of-turkey,gc,Istanbul Büyükșehir Belediye Spor Türkiye,2.Pro,118.0,0.0,1,,0.0,,,0.0
