date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-04-18,2024,banja-luka-belgrade-i,gc,Maloja Pushbikers,2.2,90.0,0.0,1,,3.0,,,6.0
2024-05-05,2024,circuito-del-porto-trofeo-arvedi,gc,Maloja Pushbikers,1.2,,0,0,,0.0,,,5.0
2024-06-26,2024,course-cycliste-de-solidarnosc,gc,Maloja Pushbikers,2.2,,0,0,,23.0,,,27.0
2024-06-23,2024,danish-championships,gc,Maloja Pushbikers,NC,,0,0,,0.0,,,0.0
2024-07-24,2024,dookola-mazowsza,gc,Maloja Pushbikers,2.2,,0,0,,3.0,,,3.0
2024-03-24,2024,gp-adria-mobil,gc,Maloja Pushbikers,1.2,,,1,,0.0,,,0.0
2024-03-19,2024,gp-brda-collio,gc,Maloja Pushbikers,1.2,,0,0,,0.0,,,0.0
2024-05-19,2024,gp-gorenjska,gc,Maloja Pushbikers,1.2,,,1,,0.0,,,0.0
2024-03-21,2024,gp-goriska-vipava-valley,gc,Maloja Pushbikers,1.2,,0,0,,0.0,,,0.0
2024-03-17,2024,gp-izola-butan-plin,gc,Maloja Pushbikers,1.2,,,1,,0.0,,,0.0
2024-05-01,2024,gp-vorarlberg,gc,Maloja Pushbikers,1.2,,0,0,,0.0,,,0.0
2024-04-28,2024,kirschblutenrennen,gc,Maloja Pushbikers,1.2,,,1,,0.0,,,0.0
2024-07-23,2024,memorial-andrzeja-trochanowskiego,gc,Maloja Pushbikers,1.2,,0,0,,0.0,,,15.0
2024-06-23,2024,nc-austria2,gc,Maloja Pushbikers,NC,,0,0,,0.0,,,0.0
2024-06-23,2024,nc-germany,gc,Maloja Pushbikers,NC,,0,0,,0.0,,,0.0
2024-06-14,2024,oberosterreichrundfahrt,gc,Maloja Pushbikers,2.2,,0,0,,0.0,,,0.0
2024-07-28,2024,puchar-ministra-obrony-narodowej,gc,Maloja Pushbikers,1.2,,0,0,,0.0,,,0.0
2024-05-26,2024,rund-um-koln,gc,Maloja Pushbikers,1.1,,0,0,,0.0,,,0.0
2024-05-24,2024,tour-of-estonia,gc,Maloja Pushbikers,2.1,,0,0,,3.0,,,3.0
2024-07-07,2024,tour-of-magnificent-qinghai,gc,Maloja Pushbikers,2.Pro,,0,0,,0.0,,,-10.0
2025-05-04,2025,albani-classic-fyen-rundt,gc,REMBE | rad-net,1.2,,0,0,,0.0,,,0.0
2025-09-27,2025,arno-wallaard-memorial,gc,REMBE | rad-net,1.2,,,1,,0.0,,,0.0
2025-10-19,2025,chrono-des-nations,gc,REMBE | rad-net,1.1,,0,0,,0.0,,,3.0
2025-08-20,2025,deutschland-tour,gc,REMBE | rad-net,2.Pro,,0,0,,5.0,,,5.0
2025-03-09,2025,dorpenomloop-rucphen,gc,REMBE | rad-net,1.2,,0,0,,0.0,,,0.0
2025-05-03,2025,fleche-ardennaise,gc,REMBE | rad-net,1.2,,0,0,,0.0,,,3.0
2025-06-13,2025,gp-du-canton-d-argovie,gc,REMBE | rad-net,1.1,,,1,,0.0,,,0.0
2025-05-03,2025,gp-herning,gc,REMBE | rad-net,1.2,,0,0,,0.0,,,0.0
2025-05-23,2025,gp-internacional-beiras-e-serra-da-estrela,gc,REMBE | rad-net,2.1,,0,0,,3.0,,,6.0
2025-05-01,2025,gp-vorarlberg,gc,REMBE | rad-net,1.2,,0,0,,0.0,,,8.0
2025-03-13,2025,istrian-spring-tour,gc,REMBE | rad-net,2.2,48.0,0.0,1,,0.0,,,0.0
2025-10-03,2025,munsterland-giro,gc,REMBE | rad-net,1.Pro,,,1,,0.0,,,25.0
2025-06-29,2025,nc-germany,gc,REMBE | rad-net,NC,,,1,,0.0,,,0.0
2025-06-27,2025,nc-germany-itt,gc,REMBE | rad-net,NC,,0,0,,0.0,,,33.0
2025-05-29,2025,oberosterreichrundfahrt,gc,REMBE | rad-net,2.2,,0,0,,0.0,,,-5.0
2025-03-26,2025,olympias-tour,gc,REMBE | rad-net,2.2,,0,0,,10.0,,,14.0
2025-03-09,2025,porec-trophy,gc,REMBE | rad-net,1.2,,,1,,0.0,,,0.0
2025-05-18,2025,rund-um-koln,gc,Germany,1.1,,0,0,,0.0,,,3.0
2025-05-18,2025,rund-um-koln,gc,REMBE | rad-net,1.1,,0,0,,0.0,,,8.0
2025-07-03,2025,sibiu-cycling-tour,gc,REMBE | rad-net,2.1,,0,0,,6.0,,,6.0
2025-07-31,2025,tour-alsace,gc,Germany,2.2,87.0,0.0,1,,0.0,,,3.0
2025-08-06,2025,tour-de-l-ain,gc,Germany,2.1,,0,0,,0.0,,,0.0
2025-09-26,2025,tour-de-la-mirabelle,gc,REMBE | rad-net,1.2,,,1,,0.0,,,20.0
2025-09-17,2025,tour-de-luxembourg,gc,REMBE | rad-net,2.Pro,96.0,0.0,1,,3.0,,,3.0
2025-11-09,2025,tour-de-okinawa,gc,REMBE | rad-net,1.2,,0,0,,0.0,,,0.0
2025-04-16,2025,tour-du-loir-et-cher,gc,Germany,2.2,,0,0,,0.0,,,1.0
2025-08-30,2025,tour-of-bulgaria,gc,REMBE | rad-net,2.2,,,1,,25.0,,,25.0
2025-05-18,2025,tour-of-japan,gc,REMBE | rad-net,2.2,55.0,0.0,1,,5.0,,,7.0
2025-06-04,2025,tour-of-lithuania,gc,REMBE | rad-net,2.2,44.0,0.0,1,,0.0,,,0.0
2025-03-05,2025,trofej-umag,gc,REMBE | rad-net,1.2,,,1,,0.0,,,3.0
2025-09-10,2025,turul-romaniei,gc,REMBE | rad-net,2.2,,0,0,,0.0,,,7.0
2025-10-01,2025,uec-road-european-championships-itt,gc,Germany,CC,,0,0,,0.0,,,0.0
2025-10-05,2025,uec-road-european-championships-me,gc,Germany,CC,,0,0,,0.0,,,0.0
2025-09-28,2025,world-championship,gc,Germany,WC,,0,0,,0.0,,,0.0
2025-09-21,2025,world-championship-itt,gc,Germany,WC,,0,0,,0.0,,,10.0
