date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2025-02-01,2025,gp-antalya,gc,Spor Toto Cycling Team,1.2,,,1,,0.0,,,0.0
2025-03-23,2025,grand-prix-apollon-temple-me,gc,Spor Toto Cycling Team,1.2,,0.0,0,,0.0,,,20.0
2025-02-08,2025,grand-prix-aspendos,gc,Spor Toto Cycling Team,1.2,,0.0,0,,0.0,,,3.0
2025-07-06,2025,grand-prix-edebiyat-yolu,gc,Spor Toto Cycling Team,1.2,,,1,,0.0,,,8.0
2025-07-05,2025,grand-prix-kahramanmaras,gc,Spor Toto Cycling Team,1.2,,,1,,0.0,,,0.0
2025-08-24,2025,grand-prix-ordu,gc,Spor Toto Cycling Team,1.2,,0.0,0,,0.0,,,3.0
2025-05-27,2025,international-azerbaijan-tour,gc,Spor Toto Cycling Team,2.1,,0.0,0,,15.0,,,51.0
2025-06-28,2025,nc-turkey,gc,Spor Toto Cycling Team,NC,,,1,,0.0,,,16.0
2025-06-26,2025,nc-turkey-itt,gc,Spor Toto Cycling Team,NC,,0.0,0,,0.0,,,5.0
2025-04-06,2025,syedra-ancient-city,gc,Spor Toto Cycling Team,1.2,,0.0,0,,0.0,,,0.0
2025-09-04,2025,tour-of-istanbul,gc,Spor Toto Cycling Team,2.1,,0.0,0,,0.0,,,0.0
2025-04-10,2025,tour-of-mersin,gc,Spor Toto Cycling Team,2.2,,0.0,0,,3.0,,,3.0
2025-08-27,2025,tour-of-samsun,gc,Spor Toto Cycling Team,2.2,,0.0,0,,0.0,,,0.0
2025-04-27,2025,tour-of-turkey,gc,Spor Toto Cycling Team,2.Pro,,0.0,0,,0.0,,,0.0
