date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-06-01,2017,boucles-de-la-mayenne,gc,Beobank - Corendon,2.1,,0,0,,150.0,,,186.0
2017-06-18,2017,circuit-des-xi-villes,gc,Beobank - Corendon,1.1,,0,0,,0.0,,,93.0
2017-08-05,2017,dwars-door-het-hageland,gc,Beobank - Corendon,1.1,,0,0,,0.0,,,128.0
2017-06-21,2017,halle-ingooigem,gc,Beobank - Corendon,1.1,,0,0,,0.0,,,5.0
2017-06-25,2017,nc-belgium,gc,Beobank - Corendon,NC,,0,0,,0.0,,,0.0
2017-06-22,2017,nc-czech-republic-itt,gc,Beobank - Corendon,NC,,,1,,0.0,,,3.0
2017-06-25,2017,nc-czech-republic2,gc,Beobank - Corendon,NC,,,1,,0.0,,,0.0
2017-06-25,2017,nc-germany,gc,Beobank - Corendon,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-netherlands,gc,Beobank - Corendon,NC,,0,0,,0.0,,,0.0
2017-06-11,2017,ronde-van-limburg,gc,Beobank - Corendon,1.1,,,1,,0.0,,,70.0
2017-07-02,2017,slag-om-norg,gc,Beobank - Corendon,1.1,,0,0,,0.0,,,125.0
2017-07-26,2017,tour-alsace,gc,Beobank - Corendon,2.2,,0,0,,0.0,,,0.0
2017-08-15,2017,tour-du-limousin,gc,Beobank - Corendon,2.1,27.0,0.0,1,,18.0,,,24.0
2017-05-24,2017,tour-of-belgium,gc,Beobank - Corendon,2.HC,26.0,5.0,1,,8.0,,,28.0
2017-07-09,2017,velothon-wales,gc,Beobank - Corendon,1.1,,0,0,,0.0,,,33.0
2018-08-16,2018,arctic-race-of-norway,gc,Corendon - Circus,2.HC,31.0,3.0,1,,28.0,,,98.0
2018-05-31,2018,boucles-de-la-mayenne,gc,Corendon - Circus,2.1,6.0,40.0,1,,165.0,,,184.0
2018-06-17,2018,circuit-des-xi-villes,gc,Corendon - Circus,1.1,,0,0,,0.0,,,38.0
2018-06-15,2018,dwars-door-het-hageland,gc,Corendon - Circus,1.1,,0,0,,0.0,,,70.0
2018-06-24,2018,nc-belgium,gc,Corendon - Circus,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-czech-republic2,gc,Corendon - Circus,NC,,,1,,0.0,,,50.0
2018-07-01,2018,nc-germany,gc,Corendon - Circus,NC,,0,0,,0.0,,,0.0
2018-07-01,2018,nc-netherlands,gc,Corendon - Circus,NC,,0,0,,0.0,,,100.0
2018-07-01,2018,ncgreat-britain,gc,Corendon - Circus,NC,,0,0,,0.0,,,0.0
2018-06-10,2018,ronde-van-limburg,gc,Corendon - Circus,1.1,,,1,,0.0,,,125.0
2018-08-26,2018,schaal-schels,gc,Corendon - Circus,1.1,,,1,,0.0,,,55.0
